name;addr
Waldeck United Methodist Church;Highway 33 W Weston WV 26452
Freemansburg United Methodist Church;1355 US 33 WESTON WV 26452
Miles Chapel United Methodist Church;1934 US 33 WESTON WV 26452
Central Union United Methodist Church;2495 Brush Country Road MARLINTON WV 24954
Beech Grove United Methodist Church;Co Hwy 11/6 Orma WV 25268
Ivydale United Methodist Church;144 Little Italy Road Ivydale WV 25113
Doyle Chapel United Methodist Church;13270 US 33 W Alum Bridge WV 26321
Camden United Methodist Church;3412 US 119 WESTON WV 26452
Rowan Memorial;Flies Creek Rd & Cassity Community County Rd 37/8 & County Rd 35 Mabie WV 26278
Cass United Methodist Church;Spruce St Cass WV 24927
Elizabeth Chapel United Methodist Church;Hinkle O’Dell Road Leivasy WV 26676
Swago United Methodist Church;100 Dry Creek Road MARLINTON WV 24954
Marlinton United Methodist Church;806 6th Ave Marlinton WV 24954
Berlin United Methodist Church;Hacker Creek Rd Weston WV 26452
Bethel United Methodist Church;Back Mountain Rd Durbin WV 26264
Phillips Chapel;284 Jimtown Rd Coalton WV 26257
Kesling Mill United Methodist Church;Kesling Mill-Swamp Run Buckhannon WV 26201
Macedonia United Methodist Church;WV-45 / Post MI Buckhannon WV 26201
Mount Lebanon United Methodist Church;Mt Lebanon Road Buckhannon WV 26201
Gee Lick United Methodist Church;Gee Lick Road (CR-1/7) WESTON WV 26452
Liberty United Methodist Church;WV-44 Leivasy WV 26676
Marvin Chapel;10941 Seneca Trail Buckeye WV 24924
Durbin United Methodist Church;Church Street & First Avenue Durbin WV 26264
Hickory Grove United Methodist Church;County Hwy 30 & County Hwy 26 Mount Nebo WV 26679
Wesley Chapel United Methodist Church;Seneca Trail (Across from elementary school) Hillsboro WV 24946
Mount Morris United Methodist Church;Valley Chapel Road Jane Lew WV 26378
Pleasant Valley United Methodist Church;WV-1/Hodgesville Hacker Creek Buckhannon WV 26201
Harmony United Methodist Church;1347 Hackers Creek Rd Jane Lew WV 26378
Gilgal United Methodist Church;Song Convention Road Mount Nebo WV 26679
Clay United Methodist Church;202 Church St Clay WV 25043
Heaston United Methodist Church of Hodgesville;5250 Clarksburg Rd Buckhannon WV 26201
Churchville United Methodist Church;5198 Churchville Road WESTON WV 26452
Mount Hebron;Sycamore Rd & High St Jane Lew WV 26378
Valley Chapel United Methodist Church;4065 Valley Chapel Road Jane Lew WV 26378
Minnora United Methodist Church;WV-16 Orma WV 25268
Newberne;Rt 1 Coxs Mills WV 26342
Jane Lew First UMC;6345 Main St. Jane Lew WV 26378
Beverly United Methodist Church;517 US 219 BEVERLY WV 26253
Alberts Chapel United Methodist Church;1879 Sand Ridge Road Grantsville WV 26147
Seebert United Methodist Church;Seebert Lane Road Hillsboro WV 24946
