name,addr,state,lat,lon
Indelible Grace Church,Castro Valley,CA,37.694552,-122.085743
Inland Church PCA,Pomona,CA,34.055381,-117.75175
Irvine Sarang Community Church,Irvine,CA,33.685697,-117.825982
iVision Community Church,Downey,CA,33.942215,-118.123565
Jesus Family Presbyterian Church,Valencia,CA,10.1667,-67.9833
Jungkm Church,Anaheim,CA,33.834752,-117.911732
King's Church,Long Beach,CA,33.769016,-118.191604
Lamp Presbyterian Church of Los Angeles,Gardena,CA,33.896359,-118.305304
Living Faith Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
Living Hope Church,Pasadena,CA,39.459118,-6.379508
Living Stone Community Church,Carmichael,CA,38.617127,-121.328284
Maranatha Vision Church,Livermore,CA,37.682058,-121.768053
Mision Vida Nueva,Escondido,CA,33.121675,-117.081485
Nachimban Church,Brea,CA,33.917044,-117.888855
New City Fellowship,Elk Grove,CA,38.408799,-121.371618
New Creation Church,Burbank,CA,34.181648,-118.325855
New Life Burbank,Burbank,CA,34.181648,-118.325855
New Life Church of Irvine,Irvine,CA,33.685697,-117.825982
New Life Mission Church,Fullerton,CA,44.756165,-93.63574
New Life Mission Church of Fremont,Fremont,CA,37.54827,-121.988571
New Life Mission Church of Glendale,La Crescenta,CA,34.230429,-118.235073
New Life Mission Church of Northern California,San Jose,CA,37.336191,-121.890583
New Life Presbyterian Church,Escondido,CA,33.121675,-117.081485
New Life Presbyterian Church,La Mesa,CA,32.767829,-117.023084
New Life Presbyterian Church of La Jolla,La Jolla,CA,32.83259,-117.271684
New Life Presbyterian Church of Orange County,Fullerton,CA,44.756165,-93.63574
New Song Church,Corona,CA,-25.460371,-55.990196
New Vision Presbyterian Church,Merced,CA,37.302957,-120.484327
North City Presbyterian Church,Poway,CA,32.962823,-117.035865
North Park Presbyterian Church,San Deigo,CA,32.71742,-117.162773
Open Door Church of Orange County,Placentia,CA,33.871481,-117.861734
Orange Hill Presbyterian Church,Orange,CA,33.787257,-117.850309
Pacific Crossroads Church,Los Angeles,CA,34.053691,-118.242766
Parkside Presbyterian Church,San Diego,CA,32.71742,-117.162773
