,name,addr,lat,lon
34,Decatur Presbyterian Church,Decatur,AL,34.60602,-86.983817
35,Eastern Shore Presbyterian Church,Fairhope,AL,30.523165,-87.902846
36,Eastwood Presbyterian Church,Montgomery,AL,32.366966,-86.300649
37,Evangel Church PCA,Alabaster,AL,33.244281,-86.816377
38,Evangel Presbyterian Church - Oneonta,Oneonta,AL,33.948154,-86.472764
39,Faith Presbyterian Church,Birmingham,AL,33.520682,-86.802433
40,Faith Presbyterian Church,Anniston,AL,33.659442,-85.831633
41,Faunsdale Presbyterian Church,Faunsdale,AL,32.459859,-87.593894
42,First Presbyterian Church,Greensboro,AL,32.704575,-87.59584
43,First Presbyterian Church,Aliceville,AL,33.129568,-88.151417
44,First Presbyterian Church,Centreville,AL,32.944568,-87.138607
45,First Presbyterian Church,Russellville,AL,34.506714,-87.729459
46,First Presbyterian Church,Demopolis,AL,32.517828,-87.83682
47,First Presbyterian Church,Camden,AL,38.992423,-1.858624
48,First Presbyterian Church,Dothan,AL,31.223743,-85.393391
49,First Presbyterian Church,Greenville,AL,31.829597,-86.617752
50,First Presbyterian Church,Uniontown,AL,32.44958,-87.514169
51,First Presbyterian Church,Prattville,AL,32.464025,-86.459697
52,First Presbyterian Church,Enterprise,AL,31.315171,-85.855216
53,First Presbyterian Church,Montgomery,AL,32.366966,-86.300649
54,First Presbyterian Church,Troy,AL,31.808768,-85.969951
55,First Presbyterian Church,Florala,AL,31.00518,-86.328002
56,First Presbyterian Church,Eutaw,AL,32.840685,-87.887514
57,First Presbyterian Church,Brewton,AL,31.105178,-87.072192
58,First Presbyterian Church,Tuscumbia,AL,34.731201,-87.70253
59,First Presbyterian Church,Atmore,AL,31.023792,-87.493871
60,First Presbyterian Church of Jasper,Jasper,AL,33.831219,-87.277505
61,Good Hope Presbyterian Church,Benton,AL,55.009737,-1.576736
62,Grace Community Church,Mobile,AL,30.694357,-88.043054
63,Grace Covenant Presbyterian Church,Athens,AL,34.804549,-86.97117
64,Grace Fellowship Presbyterian Church,Foley,AL,30.406587,-87.683597
65,Grace Fellowship Presbyterian Church,Albertvillle,AL,34.267594,-86.208867
66,Grace Fellowship Presbyterian Church,Clanton,AL,32.838737,-86.629426
67,Grace Presbyterian Chelsea,Chelsea,AL,33.340111,-86.630263
68,Grace Presbyterian Church,Fort Payne,AL,34.444255,-85.719689
69,Gulf Coast Presbyterian Church,Gulf Shores,AL,30.271122,-87.689383
70,Harvest Community Church,Birmingham,AL,33.520682,-86.802433
71,Hayneville Presbyterian Church,Hayneville,AL,32.184032,-86.580253
72,Homewood Community Church,Homewood,AL,33.471773,-86.800823
73,Hope Community Church,Jacksonville,AL,33.813716,-85.761348
74,Household of Faith Church,Birmingham,AL,33.520682,-86.802433
75,Knollwood Presbyterian Church,Sylacauga,AL,33.173172,-86.251641
76,Lakewood Presbyterian Church,Pell City,AL,33.586215,-86.286089
77,Lillian Fellowship Church,Lillian,AL,30.412976,-87.436923
78,Linden Presbyterian Church,Linden,AL,32.306254,-87.798067
79,Little Sandy Ridge Presbyterian Church,Fort Deposit,AL,31.984593,-86.578586
80,Lowndesboro Presbyterian Church,Lowndesboro,AL,32.27514,-86.611366
81,Loxley Presbyterian Church,Loxley,AL,30.618248,-87.753045
82,Marion Presbyterian Church,Marion,AL,32.632354,-87.319166
83,Millbrook Presbyterian Church,Millbrook,AL,32.479858,-86.361916
84,Monroeville Presbyterian Church,Monroeville,AL,40.42118,-79.788103
85,Montgomery Open Kingdom Presbyterian Church,Pike Road,AL,32.284308,-86.103017
86,Mount Calvary Presbyterian Church,Clay,AL,33.699904,-86.601984
87,New Covenant Presbyterian Church,Selma,AL,32.407863,-87.020747
88,Newbern Presbyterian Church,Newbern,AL,32.593188,-87.532782
89,North Hills Presbyterian Church,Meridianville,AL,34.851478,-86.572215
90,Oak Mountain Church,Birmingham,AL,33.520682,-86.802433
91,Pea River Presbyterian Church,Clio,AL,31.708775,-85.610497
92,Pleasant Grove Presbyterian Church,Pleasant Grove,AL,33.490941,-86.970271
93,Pleasant Ridge Presbyterian Church,Eutaw,AL,32.840685,-87.887514
94,Pleasant View Presbyterian Church,Clayton,AL,40.4478165,-79.9013365
95,Providence Presbyterian Church,Montgomery,AL,32.366966,-86.300649
96,Rainbow Presbyterian Church,Rainbow City,AL,33.954915,-86.04141
97,Red Mountain Church,Birmingham,AL,33.520682,-86.802433
98,Redeemer Presbyterian Church,Florence,AL,34.79981,-87.677251
99,Redeemer Presbyterian Church,Scottsboro,AL,34.673132,-86.033877
100,Redeemer Presbyterian Mission,Gardendale,AL,33.660103,-86.81277
101,Riverwood Presbyterian Church,Tuscaloosa,AL,33.209561,-87.567526
102,Salem Presbyterian Church,Alpine,AL,33.348722,-86.238586
103,Se Um Church,Auburn,AL,32.609857,-85.480783
104,Southside Presbyterian Church ,Huntsville,AL,34.729847,-86.585901
105,Southwood Presbyterian Church,Huntsville,AL,34.729847,-86.585901
106,The Village Church,Huntsville,AL,34.729847,-86.585901
107,Third Presbyterian Church,Birmingham,AL,33.520682,-86.802433
108,Trinity Presbyterian Church,Opelika,AL,32.645412,-85.37828
109,Trinity Presbyterian Church,Montgomery,AL,32.366966,-86.300649
110,Trinity Presbyterian Church,Tuscaloosa,AL,33.209561,-87.567526
111,Unity Presbyterian Church,Weogufka,AL,33.016509,-86.312197
112,Urban Hope,Fairfield,AL,33.48594,-86.911937
113,Valley Presbyterian Church,Madison,AL,34.692873,-86.751143
114,Westminster Presbyterian Church,Huntsville,AL,34.729847,-86.585901
115,Westwood Presbyterian Church,Dothan,AL,31.223743,-85.393391
116,Woodland Presbyterian Church,Notasulga,AL,32.560691,-85.672454
117,Young Meadows Presbyterian Church,Montgomery,AL,32.366966,-86.300649
118,Central Hope Church,Little Rock,AR,34.746481,-92.289595
119,Christ Church Bentonville,Bentonville,AR,36.372854,-94.208817
120,Christ Church Conway,Conway,AR,35.088696,-92.442101
121,Christ Community Church,Fayetteville,AR,36.062584,-94.157433
122,Christ Redeemer PCA - Mission,Jonesboro,AR,35.842865,-90.703452
123,Covenant Church,Fayetteville,AR,36.062584,-94.157433
124,Covenant Presbyterian Church,Fort Smith,AR,35.387222,-94.424898
125,Covenant Presbyterian Church at Little Rock,Little Rock,AR,34.746481,-92.289595
126,Covenant Presbyterian Church at Russellville,Russellville,AR,35.278417,-93.133786
127,First Presbyterian Church at Clarendon,Clarendon,AR,38.885762,-77.096971
128,Hope Church Hot Springs,Hot Springs,AR,34.503839,-93.055244
129,Redeemer Presbyterian Church,Siloam Springs,AR,36.188137,-94.540496
130,Trinity Fellowship Church,Sherwood,AR,34.815091,-92.224315
131,Trinity Grace Church,Rogers,AR,36.33202,-94.118537
132,Ascension Church of Phoenix,Phoenix,AZ,33.448437,-112.074142
133,Blessed Church in Greater Phoenix,Tempe,AZ,33.425506,-111.940009
134,Catalina Foothills Church,Tucson,AZ,32.222877,-110.974848
135,Church of the Resurrection,Flagstaff,AZ,35.198752,-111.651823
136,Covenant Presbyterian Church,Sun City West,AZ,33.661981,-112.34127
137,Desert Palms Church,Chandler,AZ,33.306161,-111.84125
138,Desert Springs Presbyterian Church,Tucson,AZ,32.222877,-110.974848
139,Fellowship of Grace Church,Peoria,AZ,33.580612,-112.237294
140,Grace Presbyterian Church,Sierra Vista,AZ,31.545571,-110.277225
141,Holy Cross Church,Tucson,AZ,32.222877,-110.974848
142,Hope Community Church,Queen Creek,AZ,33.248386,-111.634159
143,King of Kings,Goodyear,AZ,33.435367,-112.357601
144,Midtown Presbyterian Church,Tucson,AZ,32.222877,-110.974848
145,New City Barrio Nuevo Phoenix,Laveen,AZ,33.361881,-112.153386
146,New Valley Church,Chandler,AZ,33.306161,-111.84125
147,Reconciled Church of South Scottsdale ,Scottsdale,AZ,33.494219,-111.926018
148,Rincon Mountain Presbyterian Church,Tucson,AZ,32.222877,-110.974848
149,Sierra Vista United Korean Presbyterian Church,Sierra Vista,AZ,31.545571,-110.277225
150,Sojourn Church,Scottsdale,AZ,33.494219,-111.926018
151,Christ Covenant Church,Langley,BC,49.120278,-122.659722
152,Faith Reformed Presbyterian Church,Vancouver,BC,49.279862,-123.116838
153,Free Grace Presbyterian Church,Vernon,BC,50.266867,-119.271816
154,Grace Vancouver,Vancouver,BC,49.279862,-123.116838
155,Lighthouse Presbyterian Church,Victoria,BC,48.428318,-123.364953
156,Abundant Community Church,Anaheim,CA,33.834752,-117.911732
157,Aliso Creek Church,Aliso Viejo,CA,33.576138,-117.725812
158,Antioch Korean Christian Community Church,La Mirada,CA,33.906097,-118.010709
159,Arise Presbyterian Church,Vista,CA,33.200037,-117.242536
160,Ark Mission Church,Carmichael,CA,38.617127,-121.328284
161,Berkeley Grace Presbyterian Church,Berkeley,CA,37.870839,-122.272863
162,Burbank Korean Presbyterian Church,Burbank,CA,34.181648,-118.325855
163,California Christ Community Church,Stanton,CA,33.808398,-117.991286
164,Calvary Presbyterian Church,Glendale,CA,34.146942,-118.247847
165,Canyon Creek Presbyterian Church,San Ramon,CA,37.764802,-121.954439
166,Chinese Reformed Church of San Diego,Poway,CA,32.962823,-117.035865
167,Christ Church Ventura,Ventura,CA,-2.248079,-79.123366
168,Christ Presbyterian Church,Murrieta,CA,33.560832,-117.210656
169,Christ Presbyterian Church,Santa Barbara,CA,34.422132,-119.702667
170,Church in the Canyon,Calabasas,CA,34.144664,-118.644097
171,City Light Church,Los Angeles,CA,34.053691,-118.242766
172,Covenant Presbyterian Church,Paso Robles,CA,35.626765,-120.691246
173,CrossPoint Church of Sacramento,Sacramento,CA,38.581061,-121.493895
174,Disciple Community Church,Irvine,CA,33.685697,-117.825982
175,East Sarang Community Church,Chino,CA,34.013356,-117.690075
176,Eden Korean Presbyterian Church,Castro Valley,CA,37.694552,-122.085743
177,El Centro Korean Church,El Centro,CA,32.792,-115.563051
178,Foothills Neighborhood Church,Sierra Madre,CA,34.161673,-118.052846
179,Gardena Presbyterian Church,Gardena,CA,33.896359,-118.305304
180,Gateway Presbyterian Church,San Fernando,CA,36.464393,-6.198203
181,Global Mission Church,Diamond Bar,CA,34.028623,-117.810337
182,Grace Church of Marin,San Anselmo,CA,37.974432,-122.561503
183,Grace Fresno Presbyterian Church,Fresno,CA,36.739442,-119.784831
184,Grace Pasadena Church, Inc.,Pasadena,CA,39.459118,-6.379508
185,Grace Presbyterian Church,Yorba Linda,CA,33.89011,-117.824971
186,Grace Presbyterian Church of Silicon Valley,Palo Alto,CA,37.444329,-122.159847
187,Grace Presbyterian Church, Fallbrook,Fallbrook,CA,33.37642,-117.251147
188,Grace Sacramento,Sacramento,CA,38.581061,-121.493895
189,Grace South Bay,San Jose,CA,37.336191,-121.890583
190,Grace Valley Church,Los Altos,CA,37.379063,-122.116578
191,Hamonah Presbyterian Church,Pleasant Hill,CA,37.947979,-122.060796
192,Hana Presbyterian Church,Gardena,CA,33.896359,-118.305304
193,Harbor City Church,San Diego,CA,32.71742,-117.162773
194,Harbor Presbyterian Church UTC,San Diego,CA,32.71742,-117.162773
195,Holy City Church,Cerritos,CA,33.864429,-118.053932
196,Il Shin Presbyterian Church,Buena Park,CA,33.870413,-117.996217
197,Indelible Grace Church,Castro Valley,CA,37.694552,-122.085743
198,Inland Church PCA,Pomona,CA,34.055381,-117.75175
199,Irvine Sarang Community Church,Irvine,CA,33.685697,-117.825982
200,iVision Community Church,Downey,CA,33.942215,-118.123565
201,Jesus Family Presbyterian Church,Valencia,CA,10.1667,-67.9833
202,Jungkm Church,Anaheim,CA,33.834752,-117.911732
203,King's Church,Long Beach,CA,33.769016,-118.191604
204,Lamp Presbyterian Church of Los Angeles,Gardena,CA,33.896359,-118.305304
205,Living Faith Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
206,Living Hope Church,Pasadena,CA,39.459118,-6.379508
207,Living Stone Community Church,Carmichael,CA,38.617127,-121.328284
208,Maranatha Vision Church,Livermore,CA,37.682058,-121.768053
209,Mision Vida Nueva,Escondido,CA,33.121675,-117.081485
210,Nachimban Church,Brea,CA,33.917044,-117.888855
211,New City Fellowship,Elk Grove,CA,38.408799,-121.371618
212,New Creation Church,Burbank,CA,34.181648,-118.325855
213,New Life Burbank,Burbank,CA,34.181648,-118.325855
214,New Life Church of Irvine,Irvine,CA,33.685697,-117.825982
215,New Life Mission Church,Fullerton,CA,44.756165,-93.63574
216,New Life Mission Church of Fremont,Fremont,CA,37.54827,-121.988571
217,New Life Mission Church of Glendale,La Crescenta,CA,34.230429,-118.235073
218,New Life Mission Church of Northern California,San Jose,CA,37.336191,-121.890583
219,New Life Presbyterian Church,Escondido,CA,33.121675,-117.081485
220,New Life Presbyterian Church,La Mesa,CA,32.767829,-117.023084
221,New Life Presbyterian Church of La Jolla,La Jolla,CA,32.83259,-117.271684
222,New Life Presbyterian Church of Orange County,Fullerton,CA,44.756165,-93.63574
223,New Song Church,Corona,CA,-25.460371,-55.990196
224,New Vision Presbyterian Church,Merced,CA,37.302957,-120.484327
225,North City Presbyterian Church,Poway,CA,32.962823,-117.035865
226,North Park Presbyterian Church,San Deigo,CA,32.71742,-117.162773
227,Open Door Church of Orange County,Placentia,CA,33.871481,-117.861734
228,Orange Hill Presbyterian Church,Orange,CA,33.787257,-117.850309
229,Pacific Crossroads Church,Los Angeles,CA,34.053691,-118.242766
230,Parkside Presbyterian Church,San Diego,CA,32.71742,-117.162773
231,Peniel Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
232,Providence Presbyterian Church,Palm Desert,CA,33.728818,-116.382571
233,Providence Reformed Church of Bakersfield,Bakersfield,CA,35.373871,-119.019464
234,Ramona Valley Presbyterian Church,Ramona,CA,33.041711,-116.868082
235,Redeemer Presbyterian Church,Camarillo,CA,34.217637,-119.038354
236,Redeemer Presbyterian Church,Santa Rosa,CA,38.440493,-122.714105
237,Redeemer Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
238,Redeemer Presbyterian Church,Newport Beach,CA,33.617009,-117.92944
239,Redeemer Presbyterian Church 2nd site,Torrance,CA,33.835849,-118.340629
240,Redeemer Presbyterian Church of San Diego,Encinitas,CA,33.036987,-117.291982
241,Redeeming Grace Church,Torrance,CA,33.835849,-118.340629
242,Redemption Church,San Marcos,CA,-25.466931,-56.02242
243,Resurrection Oakland Church,Oakland,CA,37.804456,-122.271356
244,Resurrection Orange County,Ladera Ranch,CA,33.551017,-117.63854
245,Resurrection Presbyterian Church of San Diego,San Diego,CA,32.71742,-117.162773
246,Revive Presbyterian Church of Silicon Valley,Sunnyvale,CA,37.36883,-122.036349
247,Ridge Presbyterian Church,Chico,CA,39.728495,-121.837478
248,Risen Church,Hayward,CA,37.668821,-122.080796
249,Sa-Rang Community Church,Anaheim,CA,33.834752,-117.911732
250,Salinas Korean Presbyterian Church,Salinas,CA,36.674412,-121.655037
251,San Diego New Hope Church,San Diego,CA,32.71742,-117.162773
252,Servant Church of San Diego,San Diego,CA,32.71742,-117.162773
253,Serving Community Presbyterian Church,Chino Hills,CA,33.99268,-117.760056
254,Shalom Church of Southern California,Torrance,CA,33.835849,-118.340629
255,Sierra View Presbyterian Church,Fresno,CA,36.739442,-119.784831
256,Stockton Bansuk Presbyterian Church,Stockton,CA,39.943248,-75.075573
257,The Humbled One Church,Los Alamitos,CA,33.803887,-118.077243
258,The Way,South Pasadena,CA,34.113306,-118.147829
259,The Way Church,Los Angeles,CA,34.053691,-118.242766
260,Trinity Presbyterian Church,San Luis Obispo,CA,35.282753,-120.659616
261,Trinity Presbyterian Church of Orange County,Orange,CA,33.787257,-117.850309
262,Trinity Presbyterian Church of San Diego,San Diego,CA,32.71742,-117.162773
263,Valley Bethel Presbyterian Church,Chatsworth,CA,34.259572,-118.602325
264,Valley Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
265,Valley Springs Presbyterian Church,Roseville,CA,38.752124,-121.288006
266,Victory Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
267,Walnut Creek Heavenly Church,Walnut Creek,CA,37.902073,-122.06187
268,Cheyenne Mountain Presbyterian Church,Colorado Springs,CO,38.833958,-104.825349
269,Cornerstone Presbyterian Church,Castle Rock,CO,39.372334,-104.858664
270,Covenant Presbyterian Church,Wheat Ridge,CO,39.766098,-105.077206
271,Covenant Reformed Presbyterian Church,Pueblo,CO,18.339747,-66.308728
272,Deer Creek Community Church,Littleton,CO,39.613321,-105.01665
273,Denver Presbyterian Church,Denver,CO,39.739236,-104.984862
274,Disciple Mission Church of Denver,Denver,CO,39.739236,-104.984862
275,Elevate Hope Centennial Inc.,Centennial,CO,39.579155,-104.876923
276,Forestgate Presbyterian Church,Colorado Springs,CO,38.833958,-104.825349
277,Grace and Peace Church,Colorado Springs,CO,38.833958,-104.825349
278,Grace and Peace Denver,Blanc Events,CO,45.64267,10.01181
279,Grace Church Presbyterian,Ft. Collins,CO,40.550853,-105.066809
280,High Plains Fellowship,Falcon,CO,26.063634,-80.396866
281,Living Redeemer Church,Grand Junction,CO,39.063956,-108.550732
282,New Life Mission Church of Colorado,Aurora,CO,39.740511,-104.830995
283,Providence Presbyterian Church-Durango,Durango,CO,37.271395,-107.881598
284,Redeemer Longmont,Longmont,CO,38.22913,-77.6071
285,Redeemer Presbyterian Church,Parker,CO,39.518451,-104.761264
286,Rocky Mountain Presbyterian Church,Westminster,CO,39.836653,-105.037205
287,Saint Patrick,Greeley,CO,40.423314,-104.709132
288,Skyview Presbyterian Church,Centennial,CO,39.579155,-104.876923
289,Summit Church of Buena Vista,Buena Vista,CO,38.842218,-106.131129
290,The Table Church,Lafayette,CO,39.993596,-105.089706
291,Trinity Reformed Church,New Castle,CO,39.659449,-75.56363
292,Trinity Reformed Presbyterian Church,Montrose,CO,38.478193,-107.876277
293,Village Seven Presbyterian Church,Colorado Springs,CO,38.833958,-104.825349
294,Waypoint Church,Colorado Springs,CO,38.833958,-104.825349
295,Westside Church,Colorado Springs,CO,38.833958,-104.825349
296,Christ Community Presbyterian Church,West Hartford,CT,41.762045,-72.74204
297,Christ is Life Presbyterian Church,Fairfield,CT,41.141208,-73.263726
298,Christ Presbyterian Church,New Haven,CT,41.308214,-72.925052
299,Christ Presbyterian Church of Fairfield,Bridgeport,CT,41.167041,-73.204835
300,Christ the Shepherd Church,Danbury,CT,41.394817,-73.454011
301,Christian Community Church of Danbury,Danbury,CT,41.394817,-73.454011
302,Covenant Presbyterian Church,Ledyard,CT,41.438605,-72.017519
303,Grace Church of Greenwich,Greenwich,CT,41.026486,-73.62846
304,Grace Church Stamford,Stamford,CT,41.05343,-73.538734
305,New England Grace Presbyterian Church,West Hartford,CT,41.762045,-72.74204
306,Presbyterian Church of Coventry,Coventry,CT,41.770099,-72.30508
307,Presbyterian Church of Manchester,Manchester,CT,41.783402,-72.523197
308,Grace Presbyterian Church of Washington, DC,Washington,DC,38.895037,-77.036543
309,CenterPoint Church ,Smyrna,DE,39.299834,-75.604649
310,City Church Wilmington,Wilmington,DE,39.745947,-75.546589
311,Crossroads Presbyterian Church,Middletown,DE,39.449686,-75.716681
312,Eastgate Presbyterian Church,Millsboro,DE,38.591502,-75.291302
313,Evangelical Presbyterian Church,Newark,DE,39.685219,-75.750829
314,Faith Presbyterian Church,Wilmington,DE,39.745947,-75.546589
315,Good News Church,Hockessin,DE,39.787611,-75.6966
316,Gospel Church for all Nations,Wilmington Manor,DE,39.680523,-75.58928
317,Grace Church PCA,Dover,DE,39.158168,-75.524368
318,Heritage Presbyterian Church,New Castle,DE,39.662057,-75.566313
319,The Town (PCA),Middletown,DE,39.449686,-75.716681
320,Areumdown Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
321,Auburn Road Presbyterian Church,Venice,FL,27.099919,-82.45436
322,Bay Presbyterian Church,Bonita Springs,FL,26.339806,-81.778697
323,Boynton Beach Community Church,Boynton Beach,FL,26.525618,-80.066603
324,CenterPoint Church,Tallahassee,FL,30.438083,-84.280933
325,Chattahoochee Presbyterian Church,Chattahoochee,FL,30.704873,-84.843223
326,Christ Central Presbyterian Church,Tampa,FL,27.94776,-82.458444
327,Christ Church Beaches,Jacksonville Beach,FL,30.294686,-81.39314
328,Christ Church East,Jacksonville,FL,30.332184,-81.655651
329,Christ Church Intown,Jacksonville,FL,30.332184,-81.655651
330,Christ Church Presbyterian,Jacksonville,FL,30.332184,-81.655651
331,Christ Community Church,Titusville,FL,28.612219,-80.807554
332,Christ Community Church,Gainesville,FL,29.651968,-82.324985
333,Christ Community Church PCA Palm Beach,Wellington,FL,26.658678,-80.241436
334,Christ Community Presbyterian Church,Clearwater,FL,27.965853,-82.800103
335,Christ Community Presbyterian Church,Lakeland,FL,28.039465,-81.949804
336,Christ Covenant Church,Southwest Ranches,FL,26.0587,-80.337273
337,Christ the King Presbyterian Church,Seminole,FL,27.840092,-82.791125
338,Christ the King Presbyterian Church,Vero Beach,FL,27.638716,-80.39754
339,Christ the King Presbyterian Church,Port St. Lucie,FL,27.244412,-80.312102
340,Christ United Fellowship Orlando,Orlando,FL,28.542111,-81.37903
341,City Church Sarasota,Sarasota,FL,27.336581,-82.530855
342,City Church St. Petersburg,St. Petersburg,FL,27.77038,-82.669509
343,CityChurch,Wilton Manors,FL,26.160363,-80.138934
344,Community Presbyterian Church,McIntosh,FL,29.44886,-82.222042
345,Community Presbyterian Church,Live Oak,FL,30.294946,-82.98402
346,Concord Presbyterian Church,Gulf Breeze,FL,30.381469,-87.100502
347,Coquina Presbyterian Church,Ormond Beach,FL,29.285413,-81.055792
348,Coral Ridge Presbyterian Church,Ft. Lauderdale,FL,26.122308,-80.143379
349,Cornerstone of Lakewood Ranch,Bradenton,FL,27.498928,-82.574819
350,Cornerstone Presbyterian Church,Palm Beach Gardens,FL,26.823395,-80.138655
351,Cornerstone Presbyterian Church,Tallahassee,FL,30.438083,-84.280933
352,Cornerstone Presbyterian Church,Lutz,FL,28.151124,-82.461483
353,Covenant Church,Palm Bay,FL,27.994697,-80.636614
354,Covenant Church of Naples,Naples,FL,26.142198,-81.794294
355,Covenant Life Presbyterian Church,Sarasota,FL,27.336581,-82.530855
356,Covenant of Grace Presbyterian Church,North Port,FL,27.044224,-82.235925
357,Covenant Presbyterian Church,Lakeland,FL,28.039465,-81.949804
358,Covenant Presbyterian Church,Panama City,FL,30.160083,-85.654573
359,Covenant Presbyterian Church,Sebring,FL,27.495745,-81.441043
360,Covenant Presbyterian Church,Oviedo,FL,28.670253,-81.208494
361,Cross Community Church of South Florida,Deerfield Beach,FL,26.318342,-80.099631
362,Cross Creek Church,St. Johns,FL,30.069033,-81.558339
363,Crossbridge Church Miami,Pinecrest,FL,25.667048,-80.308107
364,Cypress Ridge Presbyterian Church,Winter Haven,FL,28.022244,-81.732857
365,El Redentor Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
366,El Shaddai of Grace Church,Naples,FL,26.142198,-81.794294
367,El Shaddai Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
368,El Shaddai Presbyterian Mission,Winter Haven,FL,28.022244,-81.732857
369,El Shalom Haitian Community Church,Loxahatchee,FL,26.771564,-80.302479
370,Elohim Evangelical Church,Jacksonville,FL,30.332184,-81.655651
371,Emanuel Presbyterian Church,Boca Raton,FL,26.358689,-80.083098
372,Fairfield Presbyterian Church,Pensacola,FL,30.421309,-87.216915
373,Faith Presbyterian Church,Gainesville,FL,29.651968,-82.324985
374,Faith Presbyterian Church,Sarasota,FL,27.336581,-82.530855
375,Faith Presbyterian Church,Wauchula,FL,27.547259,-81.811472
376,First Presbyterian Church,Panama City,FL,30.160083,-85.654573
377,First Presbyterian Church,Niceville,FL,30.516864,-86.482172
378,First Presbyterian Church of Coral Springs,Coral Springs,FL,26.271192,-80.270604
379,Florida Coast Church,Pompano Beach,FL,26.23786,-80.124767
380,FWB International Community Church Mission,Ft. Walton Beach,FL,30.405755,-86.618842
381,Gainesville Open Kingdom Presbyterian Church,Gainesville,FL,29.651968,-82.324985
382,Good News Church,St. Augustine,FL,29.894695,-81.31454
383,Good Shepherd Presbyterian Church,Ocala,FL,29.187199,-82.140092
384,Grace Community Church,Yulee,FL,30.631903,-81.606487
385,Grace Community Mission,Lakeland,FL,28.039465,-81.949804
386,Grace Community Presbyterian Church,Palm  Harbor,FL,28.078072,-82.763713
387,Grace Covenant Presbyterian Church,Hilliard,FL,30.691068,-81.917333
388,Grace Presbyterian Church,Palm Coast,FL,29.554143,-81.220767
389,Grace Presbyterian Church,Madison,FL,38.877911,-77.153221
390,Grace Presbyterian Church,Stuart,FL,27.197983,-80.251918
391,Grace Presbyterian Church,Ocala,FL,29.187199,-82.140092
392,Grace Presbyterian Church,Lake Suzy,FL,27.038113,-82.037032
393,Grace Redeemer PCA,Crestview,FL,30.762133,-86.570508
394,Granada Presbyterian Church,Coral Gables,FL,25.72149,-80.268384
395,Greater Hope Presbyterian Church,Mulberry,FL,27.895304,-81.973417
396,Hammock Street Church,Boca Raton,FL,26.358689,-80.083098
397,Harbor Community Church,Bradenton,FL,27.498928,-82.574819
398,Him Church of Orlando,Orlando,FL,28.542111,-81.37903
399,Hope Chapel,Miami,FL,25.764993375,-80.1852740625
400,Immanuel Presbyterian Church,DeLand,FL,29.028321,-81.30311
401,Kendall Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
402,Key Biscayne Presbyterian Church,Key Biscayne,FL,25.696835,-80.163526
403,Kissimmee Fellowship,Orlando,FL,28.542111,-81.37903
404,Korean Community Church of Ft. Myers,North Ft. Myers,Fl,26.672867,-81.884085
