,name,addr,attend,denom,lat,lon
679,Family Christian Center,Munster, IN,15540,NONDENOM,41.56448,-87.512541
680,Granger Community Church,Granger, IN,5169,UMC,41.753382,-86.110838
681,White River Christian Church,Noblesville, IN,2290,CHRISTIAN,40.045592,-86.008596
682,Blackhawk Baptist Church,Fort Wayne, IN,2000,BGC,41.07999,-85.138602
683,New Life Worship Center,Indianapolis, IN,2250,NONDENOM,39.768333,-86.15835
684,Kingsway Christian Church,Avon, IN,2549,CHRISTIAN,39.762823,-86.399717
685,Pathway Community Church,Fort Wayne, IN,3000,NONDENOM,41.07999,-85.138602
686,Plainfield Christian Church,Plainfield, IN,1956,CHRISTIAN,39.704212,-86.399439
687,Liberty Bible Church,Chesterton, IN,1800,EF,41.610594,-87.064199
688,Mount Olive Missionary Baptist Church,Indianapolis, IN,2500,MISSBAPT,39.768333,-86.15835
689,Connection Pointe Christian Church,Brownsburg, IN,3546,CHRISTIAN,39.843377,-86.397774
690,Fellowship Missionary Church,Fort Wayne, IN,2300,UNK,41.07999,-85.138602
691,Christian Fellowship Church,Evansville, IN,3200,NONDENOM,37.974765,-87.555848
692,Bethel Church,Crown Point, IN,2500,GBA,41.416981,-87.365314
693,New Beginnings Fellowship Church,Indianapolis, IN,3000,NONDENOM,39.768333,-86.15835
694,Sherwood Oaks Christian Church,Bloomington, IN,2588,CHRISTIAN,39.16704,-86.534288
695,College Park Church,Indianapolis, IN,3800,NONDENOM,39.768333,-86.15835
696,The Bridge Community Church,Decatur, IN,2000,NONDENOM,40.830603,-84.929133
697,Concordia Lutheran Church,Fort Wayne, IN,1800,LUTH,41.07999,-85.138602
698,Lakeview Christian Center,Indianapolis, IN,2000,AG,39.768333,-86.15835
699,Eastern Star Church,Indianapolis, IN,10000,NBC,39.768333,-86.15835
700,Grace Community Church,Noblesville, IN,5000,EF,40.045592,-86.008596
701,Indian Creek Christian Church,Indianapolis, IN,4532,CHRISTIAN,39.768333,-86.15835
702,Calvary Temple,Indianapolis, IN,2100,UPC,39.768333,-86.15835
703,Christ Gospel Church,Jeffersonville, IN,2500,NONDENOM,38.277023,-85.73716
704,Crossroads Christian Church,Evansville, IN,3550,CHRISTIAN,37.974765,-87.555848
705,Heartland Church,Indianapolis, IN,2000,NONDENOM,39.768333,-86.15835
706,Church of the Resurrection,Leawood, KS,10137,UMC,38.966673,-94.616901
707,College Church of the Nazarene,Olathe, KS,2174,NAZ,38.883886,-94.81887
708,Heartland Community Church,Olathe, KS,2000,EPC,38.883886,-94.81887
709,Westside Family Church,Lenexa, KS,5100,SBC,38.969746,-94.784584
710,Pathway Church,Wichita, KS,3012,CHRISTIAN,37.692236,-97.337545
711,Central Christian Church,Wichita, KS,3245,CHRISTIAN,37.692236,-97.337545
712,Lenexa Christian Center,Shawnee Mission, KS,3000,AG,39.041672,-94.720238
713,NewSpring Church,Wichita, KS,2000,UNK,37.692236,-97.337545
714,Central Community Church,Wichita, KS,2100,COGA,37.692236,-97.337545
715,Olathe Bible Church,Olathe, KS,2200,UNK,38.883886,-94.81887
716,Saint Stephen Church,Louisville, KY,10714,NONDENOM,38.254238,-85.759407
717,Crossroads Christian Church,Lexington, KY,2570,NONDENOM,38.046407,-84.497039
718,Highview Baptist Church,Louisville, KY,3254,SBC,38.254238,-85.759407
719,Owensboro Christian Church,Owensboro, KY,2052,CHRISTIAN,37.774215,-87.11333
720,Immanuel Baptist Church,Lexington, KY,2000,SBC,38.046407,-84.497039
721,Quest Community Church,Lexington, KY,3400,UNK,38.046407,-84.497039
722,Heartland Worship Center,Paducah, KY,1800,UNK,37.083389,-88.600048
723,Living Hope Baptist Church,Bowling Green, KY,2100,SBC,36.99032,-86.443602
724,Northeast Christian Church,Louisville, KY,2652,CHRISTIAN,38.254238,-85.759407
725,Southland Christian Church,Nicholasville, KY,12524,CHRISTIAN,37.880634,-84.572996
726,Sojourn Community Church,Louisville, KY,3476,UNK,38.254238,-85.759407
727,Evangel World Prayer Center,Louisville, KY,4800,AG,38.254238,-85.759407
728,First Church of Christ,Burlington, KY,2506,CHRISTIAN,39.02756,-84.724113
729,Valley View Church,Louisville, KY,2497,SBC,38.254238,-85.759407
730,Seven Hills Church,Florence, KY,3000,UNK,38.99895,-84.626611
731,Canaan Christian Church,Louisville, KY,2500,BAPT,38.254238,-85.759407
732,Southeast Christian Church,Louisville, KY,21764,CHRISTIAN,38.254238,-85.759407
733,Bates Memorial Baptist Church,Louisville, KY,3000,SBC,38.254238,-85.759407
734,Hillvue Heights Church,Bowling Green, KY,4825,SBC,36.99032,-86.443602
735,Saint Matthews Baptist Church,Louisville, KY,8300,SBC,38.254238,-85.759407
736,Victory Fellowship,Metairie, LA,2000,AG,29.989993,-90.150543
737,The Simple Church,Bossier City, LA,5000,NONDENOM,32.536936,-93.695269
738,Saint Timothy Northshore United Methodist,Mandeville, LA,1973,UMC,34.064135,-118.492575
739,Word of Life Center,Shreveport, LA,2500,NONDENOM,32.522183,-93.765194
740,First Baptist Lafayette,Lafayette, LA,4000,SBC,30.22409,-92.019843
741,Celebration Church,Metairie, LA,3260,SBC,29.989993,-90.150543
742,First Baptist West Monroe,West Monroe, LA,2402,SBC,32.518478,-92.147635
743,Our Saviors Church,Lafayette, LA,4600,NONDENOM,30.22409,-92.019843
744,Glad Tidings Assembly of God,Lake Charles, LA,2689,AG,30.226595,-93.217376
745,First Baptist Church,Bossier City, LA,2100,SBC,32.536936,-93.695269
746,Crossroads Church,Lafayette, LA,2400,AG,30.22409,-92.019843
747,Life Center Ministries,New Orleans, LA,6500,UNK,29.949932,-90.070116
748,Church of the King,Mandeville, LA,5000,UNK,34.064135,-118.492575
749,Healing Place Church,Baton Rouge, LA,7200,NONDENOM,30.44596,-91.18738
750,The Pentecostals,West Monroe, LA,2050,UPCI,32.518478,-92.147635
751,Broadmoor Baptist Church,Shreveport, LA,2300,SBC,32.522183,-93.765194
752,Living Faith Christian Center,Baton Rouge, LA,4750,NONDENOM,30.44596,-91.18738
753,Greater Saint Stephen Full Gospel Baptist,New Orleans, LA,10000,BAPT,29.949932,-90.070116
754,East Bayou Baptist Church,Lafayette, LA,2250,SBC,30.22409,-92.019843
755,The Vineyard Church,Kenner, LA,2000,VINE,29.994227,-90.241781
756,First Baptist Church,Covington, LA,1800,SBC,30.47547,-90.100911
757,Family Worship Center,Baton Rouge, LA,4000,UNK,30.44596,-91.18738
758,Bethany World Prayer Center,Baker, LA,8000,NONDENOM,64.3016045,-96.07721699999999
759,Franklin Avenue Baptist Church,New Orleans, LA,4000,SBC,29.949932,-90.070116
760,Pentecostals of Alexandria,Alexandria, LA,2800,UPCI,31.311248,-92.444909
761,Park Street Church,Boston, MA,2000,UNK,42.360253,-71.058291
762,Calvary Chapel of Boston,Rockland, MA,3700,CAL,42.130656,-70.916155
763,Church of the Larger Fellowship,Boston, MA,2500,UUA,42.360253,-71.058291
764,Liberty Churches,Shrewsbury, MA,2100,AG,42.283828,-71.717287
765,Grace Chapel,Lexington, MA,3000,NONDENOM,42.447318,-71.2245
766,Morning Star Baptist Church,Mattapan, MA,2100,BAPT,42.272321,-71.086995
767,Jubilee Christian Church,Mattapan, MA,7000,COGA,42.272321,-71.086995
768,Boston Church of Christ,Waltham, MA,2200,ICOC,42.37564,-71.2358
769,Springs Church,Winnipeg, MB,7500,UNK,49.895537,-97.138458
770,Church of the Rock,Winnipeg, MB,2500,NONDENOM,49.895537,-97.138458
771,Calvary Temple,Winnipeg, MB,2000,NONDENOM,49.895537,-97.138458
772,The Meeting Place,Winnipeg, MB,5000,MEN,49.895537,-97.138458
773,Southland Community Church,Steinbach, MB,3300,UNK,49.530557,-96.69342
774,Fourth Presbyterian Church,Bethesda, MD,1800,EPC,38.984827,-77.094646
775,Soul Factory,Forestville, MD,5000,NONDENOM,38.845113,-76.874972
776,Grace Fellowship Church,Timonium, MD,3000,NONDENOM,39.436844,-76.618704
777,Bethel African Methodist Episcopal Church,Baltimore, MD,2000,AME,39.290882,-76.610759
778,Sligo Seventh Day Adventist,Tacoma Park, MD,2000,SDA,38.977888,-77.007477
779,Ark of Safety Christian Church,Upper Marlboro, MD,2000,NONDENOM,38.81398,-76.757589
780,Mount Pleasant Church And Ministries,Baltimore, MD,8000,NONDENOM,39.290882,-76.610759
781,Bethel World Outreach Church,Silver Spring, MD,2000,UNK,38.995946,-77.027623
782,Southern Baptist Church,Baltimore, MD,2500,SBC,39.290882,-76.610759
783,Evangel Cathedral,Upper Marlboro, MD,4000,COG,38.81398,-76.757589
784,Covenant Life,Gathersburg, MD,3300,NONDENOM,39.139919,-77.192922
785,LifePoint Church,Reisterstown, MD,2000,UNK,39.469549,-76.829421
786,Zion Church,Largo, MD,3000,NONDENOM,38.88631,-76.83198
787,From the Heart Church Ministries,Temple Hills, MD,7000,NONDENOM,38.814002,-76.94553
788,Empowerment Temple,Baltimore, MD,7000,UNK,39.290882,-76.610759
789,Mount Ennon Baptist Church,Clinton, MD,5000,BAPT,38.765115,-76.898306
790,Cedar Ridge Community Church,Spencerville, MD,2000,UNK,39.114275,-76.97831
791,Woodstream Church,Mitchellville, MD,2000,BAPT,38.900621,-76.79522
792,New Shiloh Baptist Church,Baltimore, MD,2000,UNK,39.290882,-76.610759
793,Church of the Redeemer,Gaithersburg, MD,9407,NONDENOM,39.139919,-77.192922
794,Bridgeway Community Church,Columbia, MD,3500,NONDENOM,39.215621,-76.858205
795,Church of the Redeemed of the Lord,Baltimore, MD,2500,UNK,39.290882,-76.610759
796,The Sanctuary,Capitol Heights, MD,3400,NONDENOM,38.885396,-76.915944
797,Ebenezer African Methodist Episcopal,Fort Washington, MD,7000,AME,38.712531,-77.01246
798,Immanuel's Church,Silver Spring, MD,4500,NONDENOM,38.995946,-77.027623
799,Global Mission Church of Greater Washington,Silver Spring, MD,3000,SBC,38.995946,-77.027623
800,National Church of God,Fort Washington, MD,2500,COG,38.712531,-77.01246
801,First Baptist Church of Guilford,Colombia, MD,2000,SBC,6.166326,-75.42527799999999
802,New Psalmist Baptist Church,Baltimore, MD,6000,BAPT,39.290882,-76.610759
803,Greater Grace Church,Baltimore, MD,2000,NONDENOM,39.290882,-76.610759
804,Grace Community Church,Fulton, MD,2700,NONDENOM,39.150941,-76.923031
805,Mountain Christian Church,Joppa, MD,4270,CHRISTIAN,39.433719,-76.357737
806,Spirit of Faith Christian Center,Temple Hills, MD,5000,UNK,38.814002,-76.94553
807,Church of the Open Door,Westminster, MD,2700,BAPT,39.575264,-76.995928
808,First Baptist Church of Glenarden,Landover, MD,12000,BGC,38.934,-76.89664
809,Celebration Church,Columbia, MD,2500,COG,39.215621,-76.858205
810,First Mount Olive Freewill Baptist Church,Randallstown, MD,2500,BAPT,39.367684,-76.795455
811,NorthRidge Church,Plymouth, MI,9655,NONDENOM,45.006515,-93.46651
812,Mount Zion,Clarkston, MI,6000,NONDENOM,42.735863,-83.41883
813,Fair Haven Ministries,Hudsonville, MI,2000,RCA,42.870889,-85.865235
814,Word of Faith International Christian Center,Southfield, MI,11000,UNK,42.473369,-83.221873
815,Riverview Church,Holt, MI,2400,UNK,42.641481,-84.520172
816,Pioneer Memorial Church,Berrien Springs, MI,2500,SDA,41.946434,-86.338897
817,New Prospect Missionary Baptist Church,Detroit, MI,2000,NBC,42.331551,-83.04664
818,Grand Rapids First Assembly of God,Grand Rapids, MI,2400,AG,42.963241,-85.667864
819,Blythefield Hills Baptist Church,Rockford, MI,2020,BAPT,43.119721,-85.559604
820,Cornerstone United Methodist Church,Caledonia, MI,2000,UNK,42.789119,-85.516339
821,Grace Christian Church,Sterling Heights, MI,2000,CHRISTIAN,42.580312,-83.030203
822,Kensington Community Church,Troy, MI,11000,UNK,42.605589,-83.14993
823,Oak Pointe Church,Novi, MI,3000,NONDENOM,42.48059,-83.475491
824,Trinity Church,Lansing, MI,3500,UNK,42.733771,-84.555381
825,Christ Memorial Reformed Church,Holland, MI,2800,RCA,42.787602,-86.109083
826,Perfecting Church,Detroit, MI,4500,NONDENOM,42.331551,-83.04664
827,New Saint Paul Tabernacle Church,Detroit, MI,2300,COGIC,42.331551,-83.04664
828,Apostolic Church of Auburn Hills,Auburn Hills, MI,3000,UPCI,42.687532,-83.234103
829,Calvary Bible Church,Kalamazoo, MI,2000,NONDENOM,42.291707,-85.587229
830,Second Ebenezer Church,Detroit, MI,2000,UNK,42.331551,-83.04664
831,Central Wesleyan Church,Holland, MI,3000,WES,42.787602,-86.109083
832,Saint Lorenz Lutheran Church,Frankenmuth, MI,1800,LUTH,43.331787,-83.738054
833,Greater Grace Temple,Detroit, MI,8000,UNK,42.331551,-83.04664
834,Mars Hill Bible Church,Grandville, MI,12000,NONDENOM,42.909598,-85.763096
835,Detroit World Outreach Center,Redford, MI,2000,NONDENOM,42.394547,-83.295393
836,Faith Baptist Church of Waterford,Waterford, MI,5600,BAPT,42.670639,-83.389624
837,Resurrection Life Church,Grandville, MI,7000,NONDENOM,42.909598,-85.763096
838,Kentwood Community Church,Kentwood, MI,2581,WES,42.869473,-85.644749
839,Hartford Memorial Baptist Church,Detroit, MI,5000,BAPT,42.331551,-83.04664
840,First Wesleyan Church,Battle Creek, MI,2600,WES,42.319255,-85.182427
841,Ada Bible Church,Ada, MI,7636,NONDENOM,42.959373,-85.496158
842,Valley Family Church,Kalamazoo, MI,3000,NONDENOM,42.291707,-85.587229
843,Triumph Church,Detroit, MI,11600,NONDENOM,42.331551,-83.04664
844,Cornerstone Evangelical Presbyterian,Brighton, MI,1800,EPC,42.562222,-83.730556
845,Brightmoor Christian Church,Novi, MI,2000,AG,42.48059,-83.475491
846,Faith Lutheran Church,Troy, MI,2000,LUTH,42.605589,-83.14993
847,Ward Evangelical Presbyterian Church,Northville, MI,2300,EPC,42.415,-83.492222
848,Woodside Bible Church,Troy, MI,7174,UNK,42.605589,-83.14993
849,Calvary Church,Grand Rapids, MI,4500,NONDENOM,42.963241,-85.667864
850,Mount Hope Church,Lansing, MI,4300,AG,42.733771,-84.555381
851,Straight Gate International Church,Detroit, MI,2000,NONDENOM,42.331551,-83.04664
852,Calvary Lutheran Church,Golden Valley, MN,2300,LUTH,44.986118,-93.378462
853,Prince of Peace Lutheran Church,Burnsville, MN,3000,ELCA,44.767057,-93.277389
854,Calvary Baptist Church,Roseville, MN,1800,BGC,45.006077,-93.156611
855,Saint Andrew Lutheran Church,Eden Prairie, MN,2300,LUTH,44.854686,-93.470786
856,North Heights Lutheran Church,Arden Hills, MN,2200,LUTH,45.076141,-93.166695
857,Emmanuel Christian Center,Minneapolis, MN,3500,AG,44.9773,-93.265469
858,Shepherd of the Lake Lutheran Church,Prior Lake, MN,2000,ELCA,44.713327,-93.422687
859,Berean Baptist Church,Burnsville, MN,2100,BGC,44.767057,-93.277389
860,Evergreen Community Church,Bloomington, MN,2300,UNK,44.832241,-93.320487
861,Cedar Valley Church,Bloomington, MN,2000,AG,44.832241,-93.320487
862,Westwood Community Church,Excelsior, MN,3800,BGC,44.903296,-93.566346
863,Church of the Open Door,Maple Grove, MN,3500,CMA,45.098498,-93.441922
864,Woodbury Lutheran Church,Woodbury, MN,2100,LUTH,44.919896,-92.933945
865,Saint Philip the Deacon Lutheran Church,Plymouth, MN,2000,ELCA,45.006515,-93.46651
866,River Valley Church,Apple Valley, MN,5000,AG,44.731909,-93.21772
867,Wooddale Church,Eden Prairie, MN,5500,BGC,44.854686,-93.470786
868,Shepherd of the Valley Lutheran Church,Apple Valley, MN,2200,LUTH,44.731909,-93.21772
869,Crossroads Church,Woodbury, MN,2200,NONDENOM,44.919896,-92.933945
870,New Hope Church Evangelical Free Church,New Hope, MN,3757,EF,45.034718,-93.386104
871,Substance Church,Roseville, MN,3000,NONDENOM,45.006077,-93.156611
872,Living Word Christian Center,Brooklyn Park, MN,9000,UNK,45.100481,-93.344359
873,Mount Olivet Lutheran Church,Minneapolis, MN,5895,ELCA,44.9773,-93.265469
874,Eagle Brook Church,Centerville, MN,17091,BGC,45.163022,-93.055776
875,Bethlehem Baptist Church,Minneapolis, MN,4600,BGC,44.9773,-93.265469
876,Grace Church,Eden Prairie, MN,5500,NONDENOM,44.854686,-93.470786
877,North Heights Lutheran Church,Roseville, MN,2300,ELCA,45.006077,-93.156611
878,Saint Andrew's Lutheran Church,Mahtomedi, MN,2100,ELCA,45.069689,-92.951604
879,Woodland Hills Church,St. Paul, MN,5000,BGC,44.949749,-93.093103
880,Hosanna!,Lakeville, MN,6600,LUTH,44.650051,-93.243279
881,Twin Rivers Worship Center,Saint Louis, MO,2500,UNK,38.626426,-90.199585
882,Morning Star Church,O'Fallon, MO,1945,UMC,38.791037,-90.703911
883,Vineyard Christian Fellowship,Kansas City, MO,2000,VINE,39.100105,-94.578142
884,Woodcrest Chapel,Columbia, MO,2200,UNK,55.619517,37.506776
885,Forerunner Christian Fellowship,Kansas City, MO,2000,NONDENOM,39.100105,-94.578142
886,Faith Church of St. Louis,Fenton, MO,4000,NONDENOM,38.513199,-90.440058
887,Central Assembly of God Church,Springfield, MO,2468,AG,37.216678,-93.292037
888,Second Baptist Church,Springfield, MO,2543,SBC,37.216678,-93.292037
889,Friendly Temple Missionary Baptist Church,Saint Louis, MO,3500,BAPT,38.626426,-90.199585
890,Saint John Lutheran Church,Ellisville, MO,2300,LUTH,38.594637,-90.584838
891,Life Center,Saint Louis, MO,2500,NONDENOM,38.626426,-90.199585
892,College Heights Christian Church,Joplin, MO,1971,CHRISTIAN,37.08418,-94.51323
893,Colonial Presbyterian Church,Kansas City, MO,2200,PCA,39.100105,-94.578142
894,Grace Church,Maryland Heights, MO,3800,NONDENOM,38.715051,-90.435999
895,Saint Louis Family Church,Chesterfield, MO,6000,NONDENOM,55.752496,37.58938
896,Element Church,Wentzville, MO,2500,NONDENOM,38.824414,-90.868312
897,The Crossing,Columbia, MO,3400,NONDENOM,55.619517,37.506776
898,Church on the Rock,Saint Peters, MO,4900,NONDENOM,38.791612,-90.595847
899,Christ Church of Oronogo,Oronogo, MO,2506,CHRISTIAN,37.188391,-94.470227
900,Lees Summit Community Church,Lee's Summit, MO,2001,UNK,38.910716,-94.38213
901,Calvary Church,Saint Peters, MO,3500,EF,38.791612,-90.595847
902,Word of Life Church,Saint Joseph, MO,4000,NONDENOM,39.768606,-94.846632
903,Harvester Christian Church,Saint Charles, MO,3286,CHRISTIAN,38.794625,-90.519829
904,The Crossing,Chesterfield, MO,6000,NONDENOM,55.752496,37.58938
905,First Baptist Raytown,Raytown, MO,2000,SBC,39.016843,-94.463047
906,LifeChurch,St Louis, MO,2000,NONDENOM,38.626426,-90.199585
907,Pleasant Valley Baptist Church,Liberty, MO,2905,SBC,55.753269,37.635091
908,The Journey Fellowship,Saint Louis, MO,3300,NONDENOM,38.626426,-90.199585
909,La Croix United Methodist Church,Cape Girardeau, MO,1943,UMC,37.303493,-89.523036
910,Ridgecrest Baptist Church,Springfield, MO,1900,SBC,37.216678,-93.292037
911,First Baptist Church,Arnold, MO,2385,SBC,38.422671,-90.375829
912,North Point Church,Springfield, MO,4500,AG,37.216678,-93.292037
913,Sheffield Family Life Center,Kansas City, MO,5135,AG,39.100105,-94.578142
914,Cape First,Cape Girardeau, MO,2800,AG,37.303493,-89.523036
915,James River Assembly,Ozark, MO,8246,AG,37.021425,-93.205303
916,First Baptist Church,Arnold, MO,2385,SBC,38.422671,-90.375829
917,Abundant Life Baptist Church,Lee's Summit, MO,2000,NONDENOM,38.910716,-94.38213
918,Colonial Hills Baptist Church,Southaven, MS,2000,SBC,34.988982,-90.012591
919,Pinelake Church,Brandon, MS,9091,SBC,32.273148,-89.986806
920,Crossgates Baptist Church,Brandon, MS,2286,SBC,32.273148,-89.986806
921,Broadmoor Baptist Church,Madison, MS,2000,SBC,32.461809,-90.115364
922,The Orchard,Tupelo, MS,2300,UMC,34.257607,-88.703386
923,Christ United Methodist Church,Jackson, MS,1800,UMC,32.299002,-90.184769
924,Temple Baptist Church,Hattiesburg, MS,3000,SBC,31.327119,-89.290339
925,Harrisburg Baptist Church,Tupelo, MS,2000,BAPT,34.257607,-88.703386
926,Brown Missionary Baptist Church,Southaven, MS,3257,BAPT,34.988982,-90.012591
927,Woodlawn Church,Columbia, MS,2500,UPC,31.251844,-89.83758
928,First Baptist Church,Brandon, MS,1900,SBC,32.273148,-89.986806
929,First Baptist Church,Jackson, MS,2500,SBC,32.299002,-90.184769
930,Harvest Church,Billings, MT,2500,EVAN,45.787496,-108.49607
931,Faith Chapel,Billings, MT,4500,4SQ,45.787496,-108.49607
932,Kalispell Christian Center,Kalispell, MT,2500,AG,48.202158,-114.315321
933,Mud Creek Baptist Church,Hendersonville, NC,2590,SBC,35.318728,-82.460953
934,Mecklenburg Community Church,Charlotte, NC,2000,UNK,35.227209,-80.843083
935,First Assembly of God,Winston-Salem, NC,3300,AG,36.099813,-80.244052
936,Calvary Chapel,Apex, NC,2000,CAL,35.732535,-78.850552
937,Port City Community Church,Wilmington, NC,5200,UNK,34.225728,-77.944711
938,Lake Forest Church,Huntersville, NC,2000,EPC,35.410828,-80.84293
939,Saint Mark's Church,Burlington, NC,2000,UNK,36.095692,-79.437799
940,Crosspointe Church of Cary,Cary, NC,2046,CHRISTIAN,35.788289,-78.781208
941,Gospel Light Baptist Church,Walkertown, NC,2000,BAPT,36.174827,-80.152159
942,Carmel Baptist Church,Matthews, NC,2647,SBC,35.115953,-80.722439
943,Hickory Grove Baptist Church,Charlotte, NC,4539,SBC,35.227209,-80.843083
944,The Summit Church,Kernersville, NC,2700,BGC,36.119859,-80.073653
945,First Baptist of Jacksonville,Jacksonville, NC,2200,BAPT,34.749475,-77.420822
946,Manna Church,Fayetteville, NC,7300,UNK,35.052576,-78.878292
947,C3 Church,Clayton, NC,3852,NONDENOM,35.650711,-78.456391
948,Colonial Baptist Church,Cary, NC,3800,BAPT,35.788289,-78.781208
949,Hope Community Church,Raleigh, NC,7854,SBC,35.780398,-78.639099
950,Providence Baptist Church,Raleigh, NC,2500,SBC,35.780398,-78.639099
951,Calvary Baptist Church,Winston Salem, NC,5000,SBC,36.099813,-80.244052
952,Mid Way Baptist Church,Raleigh, NC,2600,NONDENOM,35.780398,-78.639099
953,Crossroads Fellowship Church,Raleigh, NC,3500,NONDENOM,35.780398,-78.639099
954,Grace Covenant Church,Cornelius, NC,2600,4SQ,35.481705,-80.859001
955,Westover Church,Greensboro, NC,4000,NONDENOM,36.072636,-79.791975
956,Bethlehem Church,Gastonia, NC,2700,SBC,35.262216,-81.183879
957,The Cove Church,Mooresville, NC,4200,UNK,35.58486,-80.810072
958,Newhope church,Durham, NC,4235,NONDENOM,35.996653,-78.901805
959,Destiny Christian Center,Greensboro, NC,2100,NONDENOM,36.072636,-79.791975
960,Bay Leaf Baptist Church,Raleigh, NC,1400,SBC,35.780398,-78.639099
961,Saint Paul Baptist Church,Charlotte, NC,4500,NBC,35.227209,-80.843083
962,The Park Church,Charlotte, NC,6000,UNK,35.227209,-80.843083
963,Friendship Missionary Baptist Church,Charlotte, NC,2700,BAPT,35.227209,-80.843083
964,Concord First Assembly,Concord, NC,3000,AG,35.409418,-80.580005
965,Village Baptist Church,Fayetteville, NC,1800,SBC,35.052576,-78.878292
966,Mount Zion Baptist Church,Greensboro, NC,2800,BAPT,36.072636,-79.791975
967,The Summit Church,Durham, NC,6639,SBC,35.996653,-78.901805
968,World Overcomers Christian Church,Durham, NC,10000,NONDENOM,35.996653,-78.901805
969,Church at Charlotte,Charlotte, NC,2000,EF,35.227209,-80.843083
970,Northside Baptist Church,Charlotte, NC,2000,BAPT,35.227209,-80.843083
971,Elevation Church,Matthews, NC,22200,NONDENOM,35.115953,-80.722439
972,Elevation Baptist Church,Raleigh, NC,2000,BAPT,35.780398,-78.639099
973,Christian Faith Center,Creedmoor, NC,5000,NONDENOM,36.122741,-78.686227
974,St. Peter's Church and World Outreach Center,Winston-Salem, NC,4000,NONDENOM,36.099813,-80.244052
975,Christ United Methodist Church,Hickory, NC,2162,UMC,35.733331,-81.344292
976,Southbrook Church,Weddington, NC,2000,NONDENOM,35.022371,-80.760904
977,Snyder Memorial Baptist Church,Fayetteville, NC,2000,SBC,35.052576,-78.878292
978,Victory Christian Center,Charlotte, NC,3500,NONDENOM,35.227209,-80.843083
979,Covenant Love Church,Fayetteville, NC,2000,NONDENOM,35.052576,-78.878292
980,First Baptist Church,Indian Trail, NC,2537,SBC,35.076814,-80.669235
981,Forest Hill Church,Charlotte, NC,3000,EPC,35.227209,-80.843083
982,Northwood Temple Church,Fayetteville, NC,2000,IPHC,35.052576,-78.878292
983,Christ Covenant Church,Matthews, NC,1800,PCA,35.115953,-80.722439
984,Calvary Church,Charlotte, NC,2348,NONDENOM,35.227209,-80.843083
985,Covenant United Methodist Church,Winterville, NC,1825,UMC,35.529051,-77.401076
986,Central Church of God,Charlotte, NC,6000,COG,35.227209,-80.843083
987,New Birth-Charlotte,Cornelius, NC,6500,NONDENOM,35.481705,-80.859001
988,Steele Creek Community Church,Charlotte, NC,2500,NONDENOM,35.227209,-80.843083
989,Biltmore Baptist Church,Arden, NC,6021,SBC,35.466182,-82.516424
990,University Park Baptist Church,Charlotte, NC,10000,BAPT,35.227209,-80.843083
991,Evangel Fellowship,Greensboro, NC,2000,COGIC,36.072636,-79.791975
992,Bethel Church,Fargo, ND,2500,EF,46.877229,-96.789821
993,Hope Lutheran Church,Fargo, ND,2500,ELCA,46.877229,-96.789821
994,King of Kings Lutheran Church,Omaha, NE,2400,LUTH,41.258746,-95.938376
995,Lincoln Berean Church,Lincoln, NE,5000,NONDENOM,40.808886,-96.707775
996,College View Seventh Day Adventist Churc,Lincoln, NE,2200,SDA,40.808886,-96.707775
997,Lifegate Church,Omaha, NE,1800,NONDENOM,41.258746,-95.938376
998,Westside Church,Omaha, NE,2000,SBC,41.258746,-95.938376
999,Christ Community Church,Omaha, NE,4200,CMA,41.258746,-95.938376
1000,Bellevue Christian Center,Bellevue, NE,2500,CHRISTIAN,41.143455,-95.912469
1001,Manchester Christian Church,Manchester, NH,2100,CHRISTIAN,42.99564,-71.454789
1002,Bethany at Chester Road,Raymond, NH,2000,NONDENOM,43.036196,-71.183395
1003,Pilgrim Church,Paramus, NJ,2500,KPCA,40.945291,-74.07359
1004,Jacksonville Chapel,Lincoln Park, NJ,2000,NONDENOM,40.726657,-74.177979
1005,Calvary Chapel of Old Bridge,Old Bridge, NJ,4500,CAL,40.414071,-74.30421
1006,Cathedral International,Perth Amboy, NJ,3000,BAPT,40.506772,-74.265423
1007,Kingdom Church,Ewing, NJ,2500,UNK,40.268811,-74.80069
1008,Bethany Church,Wayne, NJ,2500,KPCA,40.949172,-74.23768
1009,Rutgers Community Christian Church,Somerset, NJ,2200,NONDENOM,40.497604,-74.488487
1010,Liquid Church,Morristown, NJ,2000,NONDENOM,40.797038,-74.480987
1011,Calvary Baptist Church,Morristown, NJ,1800,BAPT,40.797038,-74.480987
1012,Princeton Alliance Church,Plainsboro, NJ,1800,CMA,40.333441,-74.600434
1013,Faith Living Christian Center,Pennsauken, NJ,2300,NONDENOM,39.956224,-75.05795
1014,Abundant Life Family Worship Church,New Brunswick, NJ,2200,NONDENOM,40.486217,-74.451817
1015,Agape Family Worship Center,Rahway, NJ,2500,NONDENOM,40.608159,-74.277647
1016,Chodae Community Church,Norwood, NJ,2500,KPCA,40.998153,-73.961804
1017,Faith Fellowship Ministries World Outreach Center,Sayreville, NJ,10100,NONDENOM,40.463536,-74.36185
1018,Saint Matthew's Baptist Church,Williamstown, NJ,9000,UNK,39.686226,-74.995168
1019,Evangel Church,Scotch Plains, NJ,2117,AG,40.65538,-74.389873
1020,The Presbyterian Church of Toms River,Toms River, NJ,2500,PRES,39.953736,-74.197958
