,name,size,addr,state,link,lat,lon
61,Living Hope Church of God in Christ,Small,1616 Moulton St W Decatur,AL,http://www.usachurches.org/church/living-hope-church-of-god-in-christ.htm,34.604311,-87.009486
62,Flint Church of Christ,Medium,1205 Mill Rd S E Decatur,AL,http://www.usachurches.org/church/flint-church-of-christ.htm,34.523079,-86.973823
63,Grace Harvest Church,Small,475 W Main St Dothan,AL,http://www.usachurches.org/church/grace-harvest-church.htm,31.224788,-85.398348
64,Allen Temple Church Of God in Chirst,Medium,106 Farmer St Dothan,AL,http://www.usachurches.org/church/allentemplechurchofgodinchirst.htm,31.229338,-85.384297
65,Kingdom International Worship Center,Small,1550 Westgate Pkwy Dothan,AL,http://www.usachurches.org/church/kingdom-international-worship-center.htm,31.258235,-85.432004
66,Fellowship Church,Small,3308 S Shelton Beach Rd Eight Mile,AL,http://www.usachurches.org/church/fellowship-church-eight-mile.htm,30.750078,-88.147707
67,Harris Temple Church of God in Christ,Medium,747 Adams Ave Elba,AL,http://www.usachurches.org/church/harris-temple-church-of-god-in-christ.htm,31.422572,-86.079076
68,Temple of God Apostolic Church,Medium,10675 Rucker Rd Elmore,AL,http://www.usachurches.org/church/temple-of-god-apostolic-church.htm,32.537355,-86.312873
69,Grace Community Church,Medium,3515 AL Highway 14Elmore,AL,http://www.usachurches.org/church/grace-community-church-millbrook.htm,32.742275,-117.142247
70,Smyrna Korean Presbyterian Church,Small,4081 Rucker Blvd Enterprise,AL,http://www.usachurches.org/church/smyrna-korean-presbyterian-church.htm,31.33976,-85.778454
71,Lawrence Cove Baptist Church,Medium,142 Pine Burr Rd Eva,AL,http://www.usachurches.org/church/lawrence-cove-baptist-church.htm,34.370271,-86.737618
72,Celebration Church Fairhope,Large,8180 Dyer Rd Fairhope,AL,http://www.usachurches.org/church/celebration-church-of-fairhope.htm,30.534603,-87.882984
73,3Circle Church,Large,10274 Hwy 104Fairhope,AL,http://www.usachurches.org/church/church-on-the-eastern-shore.htm,33.792294,-87.533806
74,Fairhope Community Church,Medium,329 Greeno Rd S Fairhope,AL,http://www.usachurches.org/church/faith-baptist-church-of-fairhope.htm,30.517212,-87.886173
75,South River Park Church,Medium,10993 County Road 32Fairhope,AL,http://www.usachurches.org/church/south-river-park-church.htm,44.453261,-89.234109
76,Bell Springs Missionary Baptist Church,Small,91 Bell Springs Rd Falkville,AL,http://www.usachurches.org/church/bell-springs-baptist-church.htm,34.317406,-86.911355
77,First Baptist Church Florala,Medium,23593 5th Ave Florala,AL,http://www.usachurches.org/church/first-baptist-church-florala.htm,31.008267,-86.33296
