lat,lon
58.3029,-134.40757
58.38306,-134.57255
58.37463,-134.62102
58.30397,-134.419152
58.302275,-134.42189
58.3007,-134.41651
58.394715,-134.56212
58.39533,-134.56355
58.30319,-134.40897
58.370595,-134.583855
58.31394,-134.44438
58.3721,-134.58717
58.38161,-134.582085
58.394225,-134.562835
58.39717,-134.56175
58.38735,-134.59051
58.36562,-134.60388
58.356045,-134.49669
58.30341,-134.40785
58.46784,-134.778566
58.404185,-134.59463
58.38452,-134.56502
58.384815,-134.589205
58.305545,-134.423185
60.55961,-151.22839
60.721217,-151.321676
60.560875,-151.29584
60.50938,-151.15249
60.51121,-151.18385
60.56131,-151.283565
60.57669,-151.31671
60.566025,-151.2032
60.55415,-151.252275
60.71925,-151.34008
60.65083,-151.35548
60.56276,-151.22095
60.55685,-151.26917
60.56274,-151.27782
60.56223,-151.25187
60.56314,-151.27643
60.613554,-151.334982
60.55932,-151.271715
55.35521,-131.686462
55.46711,-131.80262
55.34922,-131.66827
55.360845,-131.682035
55.34521,-131.65747
55.343455,-131.647605
55.35802,-131.689465
55.356825,-131.68767
55.42584,-131.77524
55.47129,-131.79201
55.31199,-131.56912
55.35258,-131.68115
55.35295,-131.68711
55.42584,-131.77524
55.350905,-131.67921
55.349685,-131.669495
55.42584,-131.77524
55.341714,-131.644482
55.341714,-131.644482
55.29976,-131.53452
55.350645,-131.67847
55.34914,-131.64972
57.793965,-152.38613
57.789745,-152.402285
57.81394,-152.36281
57.81088,-152.3449
57.80117,-152.39158
57.793765,-152.40572
57.81088,-152.36247
57.8083,-152.35569
57.78836,-152.41135
57.79618,-152.39577
57.799725,-152.374865
57.78938,-152.39738
57.8138,-152.35307
57.78949,-152.39953
57.81164,-152.36048
57.806545,-152.36892
57.800915,-152.38881
57.79526,-152.38766
57.81019,-152.36357
57.788212,-152.402554
57.78747,-152.40433
64.347125,-149.186141
60.04024,-151.67485
70.21486,-150.99498
61.6084,-149.11781
61.60323,-149.11598
61.60163,-149.11704
61.58597,-149.13852
61.60131,-149.19698
61.60768,-149.1268
61.60703,-149.10773
61.5983,-149.10666
61.60211,-149.11598
61.60913,-149.11361
61.59994,-149.19001
61.5983,-149.10769
61.60415,-149.13708
61.59957,-149.11109
61.59727,-149.10728
61.6012,-149.18197
61.66532,-149.13844
61.554,-149.14704
61.59849,-149.114992
64.49797,-146.973875
66.602398,-160.0113
57.06273,-135.35133
57.05602,-135.34226
57.05404,-135.33153
57.06301,-135.34672
57.05229,-135.32864
57.06165,-135.34759
57.04966,-135.33564
57.06254,-135.34806
57.05182,-135.328262
57.06967,-135.36616
57.06953,-135.36532
61.59717,-149.27051
57.06527,-135.36354
57.05229,-135.32864
60.50548,-150.92031
60.48675,-151.0569
60.48761,-151.07285
60.478155,-151.15078
60.48555,-151.07352
60.48831,-150.745925
60.48834,-151.081075
60.4827,-151.15009
60.48752,-151.06329
60.495825,-151.088875
60.48583,-151.07085
60.52878,-151.081
60.46392,-151.15689
60.49821,-150.795275
60.486853,-151.094222
60.461695,-151.155981
60.53703,-150.73426
62.323831,-150.108881
61.5746,-149.64511
61.57194,-149.38827
61.5243,-149.52243
61.59991,-149.44076
61.58939,-149.41414
61.58923,-149.41591
61.58401,-149.32697
61.58561,-149.43754
61.58401,-149.32887
61.59748,-149.44962
61.59261,-149.50934
61.58563,-149.31806
61.57139,-149.3315
61.58882,-149.41377
61.57151,-149.45348
