name,addr,city,state,lat,lon
Blessed Hope Baptist Church,Raymond,IL,62560,39.319494,-89.572037
Blessed Hope Baptist Church,Tahlequah,OK,74464,35.91537,-94.969956
Blissfield Baptist Church,Blissfield,MI,49228,41.832549,-83.862441
Blue Springs Baptist Temple,Blue Springs,MO,64014,39.018693,-94.2608
Bluegrass Pike Church,Danville,KY,40422,37.645649,-84.772182
Boeke Road Baptist Church,Evansville,IN,47714,37.960215,-87.524424
Boiling Springs Baptist Church,Murphy,NC,28906,35.087584,-84.034632
Braintrim Baptist Church,Laceyville,PA,18623,41.645909,-76.161319
Bristoria Baptist Church,Holbrook,PA,15341,39.855355,-80.31368
Broadway Baptist Church,Paducah,KY,42001,37.069171,-88.645986
Brook Hollow Baptist Church,DeSoto,TX,75115,32.589858,-96.856945
Brooking Heights Baptist Church,Raytown,MO,64133,39.016581,-94.455263
Brooklyn Heights Baptist Church,Americus,GA,31709,32.072386,-84.232688
Buchanan Avenue Baptist Church,Sioux City,IA,51106,42.469709,-96.357813
Burlington Bible Baptist Church,Burlington,KS,66839,38.194467,-95.742764
Clio Baptist Church,Clio,IA,50052,40.635008,-93.451328
Calvary Baptist Church,Allison Park,PA,15101,40.594825,-79.948329
Calvary Baptist Church,Batavia,IA,52533,40.994128,-92.167472
Calvary Baptist Church,Belleville,IL,62221,38.533572,-89.948592
Calvary Baptist Church,Gilbertsville,KY,42044,37.0245,-88.299756
Calvary Baptist Church,Binghamton,NY,13901,42.098713,-75.912526
Calvary Baptist Church,Butler,PA,16002,40.835544,-79.884011
Calvary Baptist Church,Campbell,MO,63933,36.493393,-90.075095
Calvary Baptist Church,Canton,IL,61520,40.558095,-90.035117
Calvary Baptist Church,,MI,48725,43.941125,-83.271347
Calvary Baptist Church,Charles City,IA,50616,43.066361,-92.672411
Calvary Baptist Church,Chattanooga,TN,37415,35.116765,-85.291004
Calvary Baptist Church,Clinton,IN,47842,39.656982,-87.398074
Calvary Baptist Church,,MS,38618,34.691768,-89.977312
Calvary Baptist Church,Crawfordsville,IN,47933,40.040199,-86.899025
Calvary Baptist Church,Dundee,MI,48131,41.957268,-83.65966
Calvary Baptist Church,Eufaula,OK,74432,35.287321,-95.582485
Calvary Baptist Church,Flora,IL,62839,38.668936,-88.485604
Calvary Baptist Church,Fremont,NE,68025,41.433836,-96.496045
Calvary Baptist Church,Geneva,IL,60134,41.887528,-88.305353
Calvary Baptist Church,Grand Island,NE,68803,40.928147,-98.372268
Calvary Baptist Church,Hollister,CA,95023,36.852455,-121.401602
Calvary Baptist Church,,MO,65336,38.76668,-93.558546
Calvary Baptist Church,Laurinburg,NC,28352,34.77405,-79.462825
Calvary Baptist Church,Marion,IA,52302,42.034166,-91.597677
Calvary Baptist Church,Memphis,TN,38115,35.055584,-89.858467
Calvary Baptist Church,Middleburg,FL,32068,30.068851,-81.860378
Calvary Baptist Church,,PA,15672,40.219226,-79.609726
Calvary Baptist Church,Normal,IL,61761,40.509287,-88.98438
Calvary Baptist Church,Palestine,TX,75801,31.762115,-95.630789
Calvary Baptist Church,Platteville,WI,53818,42.734294,-90.478445
Calvary Baptist Church,Randleman,NC,27317,35.817914,-79.803087
Calvary Baptist Church,Spotsylvania,VA,22551,38.188094,-77.674175
Calvary Baptist Church,Tinley Park,IL,60487,41.569005,-87.829625
Calvary Baptist Church,Turner,ME,04282,44.256459,-70.256167
Calvary Baptist Church,Union Grove,NC,28689,36.024578,-80.866183
Calvary Baptist Church,Uniontown,PA,15401,39.900076,-79.716433
Calvary Baptist Church,Walnut,IA,51577,41.47749,-95.221941
Calvary Baptist Church,Waterloo,IA,50703,42.497969,-92.332964
Calvary Baptist Church,Waukon,IA,52172,43.269421,-91.475695
Calvary Bible Baptist Church,Marion,OH,43302,40.588626,-83.128735
Calvary Fellowship Chapel,Mercer,PA,16137,41.227003,-80.239785
Cambellsville Baptist Temple,Campbellsville,KY,42718,37.343397,-85.341907
Canaan Baptist Church,Gainesville,GA,30506,34.340838,-83.909869
Capeway Baptist Church,Plymouth,MA,02360,41.95838,-70.667385
Capitol City Baptist Church,Austin,TX,78745,30.203702,-97.794895
Capitol City Baptist Church,Des Moines,IA,50313,41.630932,-93.62142
Capitol Heights Missionary Baptist Church,Holdenville,OK,74848,35.080362,-96.399177
Carmel Baptist Church,Saegertown,PA,16433,41.718945,-80.147558
Cathedral Baptist Church,Rockford,IL,61109,42.22,-89.06
Cedar Crest Independent Baptist Church,Mount Union,PA,17066,40.384522,-77.88222
Cedar Heights Baptist Church,Cedar Falls,IA,50613,42.527412,-92.445318
Cedar Street Baptist Church,Tipton,IA,52772,41.769743,-91.127935
Celina Baptist Temple,,OH,45822,40.548936,-84.570234
Central Baptist Church,,TX,76009,32.406531,-97.211678
Central Baptist Church,Amarillo,TX,79110,35.159155,-101.857745
Central Baptist Church,Ankeny,IA,50023,41.731872,-93.600384
Central Baptist Church,Baltimore,MD,21221,39.307507,-76.479036
Central Baptist Church,Baton Rouge,LA,70819,30.465181,-91.016811
Central Baptist Church,Center,TX,75935,31.795451,-94.179086
Central Baptist Church,Decatur,IL,62521,39.832084,-88.933919
Central Baptist Church,Granite City,IL,62040,38.701439,-90.14872
Central Baptist Church,Greeneville,TN,37743,36.163158,-82.830986
Central Baptist Church,Hattiesburg,MS,39401,31.327119,-89.290339
Central Baptist Church,Jefferson City,MO,65101,38.577359,-92.172427
Central Baptist Church,Moline,IL,61265,41.5067,-90.515134
Central Baptist Church,Patterson,LA,70392,29.693264,-91.30205
Central Baptist Church,Saint Petersburg,FL,33713,27.789885,-82.680884
Central Calvary Baptist Church,West Plains,MO,65775,36.728165,-91.852576
Central Korean Baptist Church,Paterson,NJ,07501,40.91,-74.16
Trident Baptist Church,Goose Creek,SC,29445,32.996104,-80.038729
Charity Baptist Church,Cantonment,FL,32533,30.605427,-87.344442
Cheshire Hills Baptist Church,Allegan,MI,49010,42.529199,-85.855303
Lighthouse Baptist Church,Cheyenne,WY,82007,41.111763,-104.813031
Chili Bible Baptist Church,Rochester,NY,14624,43.105697,-77.748069
Christ First Church,Minooka,IL,60447,41.455308,-88.261731
Clays Mill Road Baptist Church,Nicholasville,KY,40356,37.880634,-84.572996
Clearview Baptist Church,Heber Springs,AR,72543,35.491468,-92.03126
Cleveland Baptist Church,Cleveland,OH,44144,41.436702,-81.730488
Collins Hill Baptist Church,Lawrenceville,GA,30043,33.992781,-84.022548
Colonial Baptist Church,Galesburg,IL,61401,40.947978,-90.370584
Colonial Baptist Church,Rogers,AR,72756,36.33202,-94.118537
Colonial Hills Baptist Church,Bedford,PA,15522,40.018692,-78.503907
Columbus Baptist Church,Columbus,IN,47201,39.201441,-85.92138
Community Baptist Church,Sault Sainte Marie,MI,49783,46.490586,-84.359269
Community Baptist Temple,Akron,OH,44306,41.050923,-81.494087
Colquitt County Baptist Church,Moultrie,GA,31776,31.182323,-83.78946
Grace Baptist Church,Colorado Springs,CO,80907,38.875892,-104.819219
Cornerstone Baptist Church,Denver,CO,80219,39.697118,-105.033859
Cornerstone Baptist Church,,NC,28086,35.245061,-81.341052
Cornerstone Baptist Church,Manchester,NH,03102,42.991563,-71.483792
Cornerstone Baptist Church,Mount Pleasant,AR,72561,35.961739,-91.7557
Cornerstone Baptist Church,Ortonville,MI,48462,42.852251,-83.443
Cornerstone Baptist Church,Richmond,VA,23234,37.450864,-77.482717
Cornerstone Baptist Church,Stratham,NH,03885,43.024413,-70.912281
Cornerstone Baptist Church,Vinton,IA,52349,42.166244,-92.021343
Corry Baptist Church,Corry,PA,16407,41.920334,-79.640329
Granite Baptist Church,Glen Burnie,MD,21061,39.1456,-76.631438
Covenant Baptist Church,Kansas City,KS,66109,39.134408,-94.773679
Crisswell Bible Baptist Church,Karns City,PA,16041,40.994856,-79.726336
CrossRoad Baptist Church,Ames,IA,50010,42.026757,-93.617045
Crossroads Baptist Church,Allentown,PA,18103,40.581692,-75.466149
Crossroads Baptist Church,Bristol,TN,37620,36.594503,-82.188521
Crossroads Baptist Church,Dothan,AL,36303,31.246063,-85.429486
Crossroads Baptist Church,Gainesville,TX,76240,33.625941,-97.133345
Crossroads Baptist Church,Hephzibah,GA,30815,33.314031,-82.096786
Crossroads Baptist Church,Peoria,IL,61615,40.77,-89.65
Crossroads Independent Baptist Church,Davenport,IA,52807,41.564441,-90.539771
Cumberland Street Baptist Church,Dunn,NC,28334,35.306274,-78.608903
Danvers Baptist Church,,IL,61732,40.529482,-89.177306
Delaware County Baptist Church,Havertown,PA,19083,39.980945,-75.30852
Delhi Baptist Church,Jerseyville,IL,62052,39.120047,-90.328448
Devonshire Baptist Church,Charlotte,NC,28215,35.242135,-80.739569
Dover Baptist Temple,Dover,OH,44622,40.521338,-81.474148
Dupont Baptist Church,,IN,47231,38.890056,-85.51413
Eagle Heights Baptist Church,Kansas City,MO,64119,39.200581,-94.52036
East Park Baptist Church,Decatur,IL,62521,39.832084,-88.933919
East Valley Baptist Church,Tempe,AZ,85284,33.34012,-111.937446
Eastern Hills Baptist Church,Council Bluffs,IA,51503,41.26333,-95.837753
Eastern Shore Baptist Church,Grasonville,MD,21638,38.958169,-76.210229
Eastman Baptist Temple,Eastman,GA,31023,32.197673,-83.177651
Easton Baptist Church,Des Moines,IA,50317,41.614141,-93.553756
Eastside Baptist Church,Marion,NC,28752,35.684102,-82.009103
Eastside Baptist Church,Sioux Falls,SD,57110,43.536558,-96.6661
Eastwood Baptist Church,Murray,KY,42071,36.610333,-88.314761
El Vista Baptist Church,Peoria,IL,61615,40.77,-89.65
Elm Street Baptist Church,East Prairie,MO,63845,36.779778,-89.38563
Elwood Bible Baptist Church,Elwood,IN,46036,40.276983,-85.841925
Emmanuel Baptist Church,Casper,WY,82601,42.850119,-106.325138
Emmanuel Baptist Church,Des Moines,IA,50315,41.544483,-93.616234
Emmanuel Baptist Church,Eden,NC,27288,36.488472,-79.766703
Emmanuel Baptist Church,Elizabeth City,NC,27909,36.295684,-76.22477
Emmanuel Baptist Church,Grand Rapids,MI,49504,42.976652,-85.693513
Emmanuel Baptist Church,Leavenworth,KS,66048,39.311326,-94.922759
Emmanuel Baptist Church,Mineral,VA,23117,38.009841,-77.907663
Emmanuel Baptist Church,Valparaiso,IN,46385,41.515566,-87.120073
Emmanuel Baptist Temple,Hagerstown,MD,21740,39.641922,-77.720264
Emmorton Baptist Church,Bel Air,MD,21015,39.529708,-76.314418
Evangel Baptist Church,Taylor,MI,48180,42.240872,-83.269651
Evergreen Baptist Church,Trail Creek,IN,46360,41.664819,-86.891996
Fairview Baptist Church,Great Falls,MT,59405,47.497961,-111.265394
Fairview Baptist Church,Kansas City,KS,66112,39.117137,-94.763351
New Life Baptist Church,Ponchatoula,LA,70454,30.438804,-90.441476
Faith Baptist Church,Round Lake Beach,IL,60073,42.332846,-88.157196
Faith Baptist Church,Albert Lea,MN,56007,43.648013,-93.368266
Faith Baptist Church,Belle Plaine,IA,52208,41.896748,-92.277318
Faith Baptist Church,Berne,IN,46711,40.657824,-84.951912
Faith Baptist Church,Bourbonnais,IL,60914,41.163931,-87.883969
Faith Baptist Church,Bozeman,MT,59772,45.632491,-110.959365
Faith Baptist Church,Brandon,FL,33510,27.937801,-82.285925
Faith Baptist Church,Brown City,MI,48416,43.212249,-82.98966
Faith Baptist Church,Cadillac,MI,49601,44.251953,-85.401162
Faith Baptist Church,Charlotte,NC,28227,35.18882,-80.708696
Faith Baptist Church,Columbia,MO,65202,38.981463,-92.306583
Faith Baptist Church,Danville,IL,61832,40.125222,-87.630461
Faith Baptist Church,Dekalb,IL,60115,41.929474,-88.750365
Faith Baptist Church,Elizabeth City,NC,27909,36.295684,-76.22477
Faith Baptist Church,Emporia,VA,23847,36.685983,-77.542481
Faith Baptist Church,Fairless Hills,PA,19030,40.179554,-74.855164
Faith Baptist Church,Florence,MA,01062,42.335569,-72.671952
Faith Baptist Church,Franklin,KY,42134,36.725157,-86.579908
Faith Baptist Church,Godfrey,IL,62035,38.955603,-90.186777
Faith Baptist Church,,AR,72058,35.233971,-92.387655
Faith Baptist Church,Gulfport,MS,39503,30.456625,-89.077508
Faith Baptist Church,Kilgore,TX,75662,32.386073,-94.875852
Faith Baptist Church,Melrose Park,IL,60164,41.915986,-87.8933
Faith Baptist Church,Oak Creek,WI,53154,42.88585,-87.863136
Faith Baptist Church,,PA,16667,40.169523,-78.520295
Faith Baptist Church,Posen,IL,60469,41.631701,-87.681437
Faith Baptist Church,Omaha,NE,68110,41.287524,-95.932471
Faith Baptist Church,Richmond,KY,40475,37.747857,-84.294654
Faith Baptist Church,Rocky Mount,NC,27801,35.935197,-77.780503
Faith Baptist Church,Saginaw,MI,48604,43.496362,-83.956514
Faith Baptist Church,Sellersville,PA,18960,40.354286,-75.305008
Faith Baptist Church,Seneca,PA,16346,41.378671,-79.703941
Faith Baptist Church,Thomaston,GA,30286,32.888188,-84.326586
Faith Baptist Church,Tuscola,IL,61953,39.799199,-88.283104
Faith Baptist Church of Altoona,Altoona,PA,16602,40.511753,-78.39188
Faith Bible Baptist Church,Fort Pierce,FL,34982,27.404892,-80.327744
Faith Bible Baptist Church,Lapeer,MI,48446,43.051416,-83.318834
Faith Bible Baptist Church,Medina,NY,14103,43.220283,-78.386645
Faith Bible Baptist Church,Oakdale,LA,71463,30.816028,-92.660421
Faith Bible Baptist Church,Turtle Creek,PA,15145,40.405926,-79.825053
Faith Independent Baptist Church,Philadelphia,PA,19145,39.924977,-75.178257
Faith Independent Baptist Church,Vinton,IA,52349,42.166244,-92.021343
Faith Missionary Baptist Church,Paducah,KY,42001,37.069171,-88.645986
Fallowfield Baptist Church of Monongahela,Finleyville,PA,15332,40.252292,-80.002829
Farmington Avenue Baptist Church,West Hartford,CT,06107,41.762045,-72.74204
Fellowship Baptist Church,Bearden,AR,71720,33.724553,-92.615714
Fellowship Baptist Church,Corydon,IN,47112,38.212933,-86.125386
Fellowship Baptist Church,Emlenton,PA,16373,41.180662,-79.709614
Fellowship Baptist Church,Irving,TX,75061,32.829518,-96.944218
Fellowship Baptist Church,Lebanon,OH,45036,39.435337,-84.202992
Fellowship Baptist Church,Marshalltown,IA,50158,42.044255,-92.912339
Fellowship Baptist Church,Maryville,TN,37801,35.741891,-84.020157
Fellowship Baptist Church,Racine,WI,53406,42.712808,-87.845978
Fellowship Baptist Church,Sycamore,IL,60178,41.988917,-88.686754
Fifth Street Baptist Church,Lowell,MA,01850,42.655751,-71.304364
Fifty-Eighth Ave Baptist Church,Cicero,IL,60804,41.84554,-87.75402
First Baptist Church,Aliquippa,PA,15001,40.610239,-80.267726
First Baptist Church,Amboy,IL,61310,41.7142,-89.328706
First Baptist Church,,TX,78606,30.100704,-98.42206
First Baptist Church,Blooming Prairie,MN,55917,43.866807,-93.055251
First Baptist Church,Borden,IN,47106,38.466728,-85.945804
First Baptist Church,Bridgeview,IL,60455,41.750032,-87.804222
First Baptist Church,,IL,62012,39.039773,-90.141002
First Baptist Church,Clinton,IL,61727,40.152645,-88.960712
First Baptist Church,Crete,IL,60417,41.444533,-87.631383
First Baptist Church,Dwight,IL,60420,41.094477,-88.42506
First Baptist Church,,,12472,41.843982,-74.082087
First Baptist Church,,MI,49631,43.900575,-85.258097
First Baptist Church,Geneseo,IL,61254,41.452521,-90.154843
First Baptist Church,Genoa,IL,60135,42.097248,-88.692869
First Baptist Church,Gibsonton,FL,33534,27.853637,-82.382593
First Baptist Church,Gillespie,IL,62033,39.129769,-89.819541
First Baptist Church,,IL,62037,38.96985,-90.431433
First Baptist Church,Grove City,PA,16127,41.157901,-80.088663
First Baptist Church,Hammond,IN,46320,41.609269,-87.510796
First Baptist Church,Lewistown,IL,61542,40.393097,-90.154842
First Baptist Church,Mediapolis,IA,52637,41.008076,-91.163398
First Baptist Church,Milford,OH,45150,39.174625,-84.295899
First Baptist Church,Mission,KS,66202,39.027783,-94.655791
First Baptist Church,Monticello,IL,61856,40.026295,-88.567956
First Baptist Church,Morley,MI,49336,43.490861,-85.443928
First Baptist Church,New Castle,DE,19720,39.662057,-75.566313
First Baptist Church,Plattsmouth,NE,68048,41.011198,-95.886216
First Baptist Church,Rochelle,IL,61068,41.923918,-89.068707
First Baptist Church,Rosemount,MN,55068,44.739187,-93.12611
First Baptist Church,Saginaw,MI,48601,43.420039,-83.949037
First Baptist Church,Sauk Village,IL,60411,41.506283,-87.635708
First Baptist Church,Schererville,IN,46375,41.478925,-87.454761
First Baptist Church,Seymour,IA,52590,40.68251,-93.121041
First Baptist Church,Steinhatchee,FL,32359,29.672082,-83.375859
First Baptist Church,Watseka,IL,60970,40.776147,-87.736422
Wyoming First Baptist Church,Wyoming,IL,61491,41.061704,-89.773158
First Baptist Church of Aloha,Beaverton,OR,97007,45.453821,-122.837776
First Baptist Church of Arcola,Roseland,LA,70456,30.764907,-90.51176
First Baptist Church of Burbank,Burbank,IL,60459,41.741406,-87.768608
First Baptist Church of Citrus Park,Tampa,FL,33625,28.067049,-82.552481
First Baptist Church of Goodells,,MI,48027,42.981139,-82.665757
First Baptist Church of Greenville,Greenview,IL,62642,40.083102,-89.738163
First Baptist Church of Haltom City,Fort Worth,TX,76148,32.871194,-97.250426
First Baptist Church of Kenmore,Akron,OH,44314,41.043289,-81.559352
First Baptist Church of Lapeer,Lapeer,MI,48446,43.051416,-83.318834
First Baptist Church of Park Rapids,Park Rapids,MN,56470,46.922181,-95.058632
Penn Hills Baptist Church,Verona,PA,15147,40.51,-79.84
First Baptist Church of Springboro,,OH,45066,39.552282,-84.233272
First Baptist Church of Marquette,Chicago,IL,60652,41.745652,-87.718389
First Bible Baptist Church,Green Bay,WI,54301,44.512638,-88.012579
First Bible Baptist Church,Harmony,PA,16037,40.802777,-80.128053
Five Forks Baptist Church,Cedar Grove,NC,27231,36.167639,-79.167793
Fords Bush Bible Church,Fort Plain,NY,13339,42.931462,-74.622643
Foundation Baptist Church,Cary,IL,60013,42.211968,-88.238138
Frederick Baptist Church,Frederick,MD,21703,39.399664,-77.441834
Freedom Baptist Church,Eastover,NC,28312,35.041103,-78.811157
Freedom Baptist Church,Glenolden,PA,19036,39.900113,-75.289075
Freedom Baptist Church,Hernando,FL,34442,28.899982,-82.37454
Friendly Lane Baptist Church,Haltom City,TX,76117,32.799574,-97.269182
Friendship Baptist Church,Cedar Rapids,IA,52402,42.017451,-91.652551
Friendship Baptist Church,Highland,AR,72542,36.315899,-91.482639
Friendship Baptist Church,Hurst,TX,76053,32.823462,-97.170568
Front Range Baptist Church,Fort Collins,CO,80525,40.550853,-105.066809
Fundamental Baptist Church,Livingston,LA,70754,30.502135,-90.747874
Coast Hills Baptist Church,Santa Maria,CA,93455,34.888727,-120.427685
Galilee Baptist Church,Elizabethtown,KY,42701,37.693952,-85.859129
Gateway Baptist Church,Anderson,SC,29621,34.50686,-82.650626
Gateway Baptist Church,Clarksville,TN,37040,36.527761,-87.35887
Gateway Baptist Church,Clinton,IA,52732,41.844474,-90.188738
Gateway Baptist Church,Macon,GA,31206,32.797603,-83.678364
Gateway Baptist Church,Pensacola,FL,32526,30.519263,-87.316257
Gentle Shepherd Baptist Church,Lincoln,NE,68522,40.79385,-96.748769
Georgetown Baptist Church,,NC,28748,35.655107,-82.696244
Gethsemane Baptist Church,Knox,IN,46534,41.295875,-86.625014
Glenora Baptist Church,Mineral,VA,23117,38.009841,-77.907663
Glenwood Baptist Church,Kansas City,MO,64116,39.160848,-94.567669
Glory Baptist Church,Carlisle,IA,50047,41.498683,-93.486751
Gloryland Baptist Church,Birmingham,AL,35214,33.554448,-86.885
Good News Baptist Church,Cedar Rapids,IA,52404,41.953989,-91.696808
Gospel Baptist Church,Billings,MT,59102,45.77901,-108.576043
Gospel Baptist Church,Bonita Springs,FL,34135,26.339806,-81.778697
Gospel Baptist Church,Greensboro,NC,27455,36.140597,-79.819577
Gospel Baptist Church,Richmond,VA,23225,37.514783,-77.500762
Gospel Baptist Church,South Richmond Hill,NY,11419,40.68181,-73.822105
Gospel Baptist Church,Little Hocking,OH,45742,39.260631,-81.699852
Gospel Light Baptist Church,Baton Rouge,LA,70817,30.39315,-91.008718
Gospel Light Baptist Church,Malvern,AR,72104,34.362315,-92.812946
Gospel Light Baptist Church,Marion,IA,52302,42.034166,-91.597677
Gospel Light Baptist Church,Metamora,MI,48455,42.941417,-83.289109
Gospel Light Baptist Church,Minneapolis,MN,55418,45.017726,-93.241078
Gospel Light Baptist Church,Winder,GA,30680,33.991909,-83.718437
Gospel Light Baptist Church,Winston-Salem,NC,27101,36.099813,-80.244052
Grace Baptist Church,Appleton,WI,54914,44.275623,-88.43516
Grace Baptist Church,Belleview,FL,34420,29.059989,-82.02563
Grace Baptist Church,Billings,MT,59102,45.77901,-108.576043
Grace Baptist Church,Bluffton,IN,46714,40.738658,-85.171637
Grace Baptist Church,,IA,50049,41.014751,-93.307251
Grace Baptist Church,,OK,73023,35.050015,-97.941249
Grace Baptist Church,Chillicothe,MO,64601,39.794875,-93.553278
Grace Baptist Church,Crestline,OH,44827,40.787557,-82.736568
