name,city,state,attend,denom,lat,lon
Chapel Springs,Bristow, VA,2500,AG,38.723326,-77.536567
Grace Church,Dumfries, VA,2000,NONDENOM,38.56762,-77.328038
Faith Deliverance Christian Center,Norfolk, VA,2000,COC,36.896805,-76.260234
Christ Chapel,Woodbridge, VA,1862,AG,38.658172,-77.249705
The Falls Church Anglican,Falls Church, VA,3000,ANGLICAN,38.882334,-77.171091
Mount Lebanon Missionary Baptist Church,Chesapeake, VA,2300,MISSBAPT,36.718371,-76.24668
Kempsville Presbyterian Church,Virginia Beach, VA,2200,EPC,36.852984,-75.977418
Williamsburg Community Chapel,Williamsburg, VA,2400,UNK,37.270879,-76.707404
Thomas Road Baptist Church,Lynchburg, VA,8350,UNK,37.413754,-79.142246
Faith! Christian Church,Waverly Gardens, VIC,1900,UNK,26.123051,-80.137044
Tabernacle Missionary Baptist Church,Seattle, WA,1800,UNK,47.603832,-122.330062
Washington Cathedral,Redmond, WA,2000,UNK,47.669414,-122.123877
Christ the King Community Church,Bellingham, WA,4000,NONDENOM,48.754401,-122.478836
First Presbyterian Church of Bellevue,Bellevue, WA,2203,PCUSA,40.164516,-80.25395
Calvary Community Church,Sumner, WA,3000,NONDENOM,47.206188,-122.231238
Eastridge Church,Issaquah, WA,1900,AG,47.534878,-122.043297
Walla Walla City Seventh-day Adventist Church,Walla Walla, WA,1800,SDA,46.087376,-118.284614
New Life Church at Renton,Renton, WA,2733,AG,47.479908,-122.20345
Christian Faith Center,Seattle, WA,8000,NONDENOM,47.603832,-122.330062
NewLife Church,Silverdale, WA,3044,AG,47.659409,-122.676632
Westgate Chapel,Edmonds, WA,2000,NONDENOM,47.810574,-122.377495
Church For All Nations,Tacoma, WA,2000,NONDENOM,47.24958,-122.439875
First Presbyterian Church,Spokane, WA,2500,PCA,47.657193,-117.423511
The City Church,Kirkland, WA,6300,NONDENOM,47.685957,-122.192025
River of Life Fellowship,Kent, WA,2000,NONDENOM,47.38269,-122.227027
North County Christ the King Community Church,Lynden, WA,1950,NONDENOM,48.946604,-122.456932
New Life Fellowship-Community Church of Seattle,Bothell, WA,3000,UNK,47.75987,-122.206829
Northwest Church,Federal Way, WA,1800,4SQ,47.313494,-122.33931
New Heights Church,Vancouver, WA,4000,BGC,49.271743,-123.136595
University Presbyterian Church,Seattle, WA,3896,PCUSA,47.603832,-122.330062
Calvary Fellowship Church,Mountlake Terrace, WA,1900,UNK,47.790967,-122.30664
Bethany Community Church,Seattle, WA,2874,NONDENOM,47.603832,-122.330062
Canyon Hills Community Church,Bothell, WA,2100,NONDENOM,47.75987,-122.206829
Life Center,Tacoma, WA,4811,AG,47.24958,-122.439875
Northshore Baptist Church,Kirland, WA,2400,BAPT,47.685957,-122.192025
Gold Creek Community Church,Mill Creek, WA,2389,CHRISTIAN,47.857746,-122.221063
Eastside Foursquare Church,Bothell, WA,2300,4SQ,47.75987,-122.206829
Cascade Community Church,Monroe, WA,2000,NONDENOM,33.794836,-83.713229
Overlake Christian Church,Redmond, WA,3000,CHRISTIAN,47.669414,-122.123877
Westminster Chapel,Bellevue, WA,3000,NONDENOM,40.164516,-80.25395
Champions Centre,Tacoma, WA,5500,NONDENOM,47.24958,-122.439875
Church of Living Water,Olympia, WA,2100,4SQ,47.045102,-122.895008
Cornwall Church,Bellingham, WA,2300,COGA,48.754401,-122.478836
East Lake Community Church,Bothell, WA,4500,NONDENOM,47.75987,-122.206829
Christ the King Community Church,Burlington, WA,17000,NONDENOM,48.473814,-122.330454
Calvary Chapel,Spokane, WA,2600,CAL,47.657193,-117.423511
Grace Community Church,Auburn, WA,2000,CBA,47.307537,-122.230181
Centro Cristiano Ministries,Manson, WA,2000,NONDENOM,36.421812,-78.283051
